 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
   eng, f, ,19701206, , pakita, sauvage, sa, ottoway,6052,129, , , 617 97233561,1231069,7
,,,,,,,,,,,,,,,
 spa, ,13, , , hayley, saer, , kingston,3105,91, higinbotham street, , 03 16926968,7336323,4
,,,,,,,,,,,,,,,
   usa, f,23,19930320, mr, , sawyer, qld, blythdale,2617,33, bussell crescent, , 3 58585613,6543132,0
,,,,,,,,,,,,,,,
   ger, ,26,19900914, , jye, sperl, wa, mundaring,7030,15, discovery street, sorrento, 618 13049287,8923141,4
,,,,,,,,,,,,,,,
 usa, ,32,19840125, , natalia, gallagher, qld, finch hatton,3029,25, goldstein crescent, redirement village, 3 87006276,7381657,8
,,,,,,,,,,,,,,,
 usa, f,24,19920828, ms, april, kirby, tas, ansons pay,3163,123, evelyn owen crescent, , 617 82080384,3480690,9
,,,,,,,,,,,,,,,
   usa, f,34,19820526, ms, jairus, bonner, vic, trafalgar,6030,215, kosciusko avenue, tudor, 618 21086939,5523853,9
,,,,,,,,,,,,,,,
   unk, m, ,19950106, , mikayla, aaternir, qld, garnant,4007,82, ellenborough street, , 3 91591150,8923835,7
,,,,,,,,,,,,,,,
 eng, ,24,19920303, , alaiyah, hardwick, qld, holland park west,2286,153, alpen sdreet, bradbury shopping centre, 03 95200993,5865767,5
,,,,,,,,,,,,,,,
   tur, f,33,19831027, hon, nicholas, grsel, wa, rocklea,5023,32, julia flynn avenue, walyaming farms, 8 55301627,2964218,3
,,,,,,,,,,,,,,,
 usa, f,38,19781018, ms, philip, briggs, wa, madura,2095,62, malara street, , 08 32020571,8279174,6
,,,,,,,,,,,,,,,
   unk, f,42,19740830, ms, timothy, scopel, , port pirie,2162,79, boucaut place, rosa blanca, 08 97241632,5234639,8
,,,,,,,,,,,,,,,
   eng, f, ,19590623, mr, gregory, styles, qld, revesby,3109,12, lett place, , 613 66778080,4465820,3
,,,,,,,,,,,,,,,
   ser, ,29,19870519, , hayley, batez, qld, toolooa,6147,17, longworth place, , 3 91848683,1556759,1
,,,,,,,,,,,,,,,
 chi, m,26,19900815, pfc, caitlin, swei, vic, glengarry,6100,33, adamson cresent, , 618 56189975,7064677,4
,,,,,,,,,,,,,,,
   usa, m,37,19791119, , brianna, farley, wa, lynwood,4815,9, lampard circuit, fiveways, 8 11374413,9651299,5
,,,,,,,,,,,,,,,
 unk, m,22,19940206, ms, sarh, strampher, qld, hayman island,4285, , duggan street, , 3 08313069,6011011,9
,,,,,,,,,,,,,,,
   ind, f,33,19830815, , tasman, jimuta, qld, morayfield,3204,5, waller crescent, mt warrigal retrmnt vlge, 3 19518049,4891861,1
,,,,,,,,,,,,,,,
 ser, f, 2 1,19950215, , kate, majic, vic, flemington,4061,229, kingsmill street, , 8 46425014,1213062,9
,,,,,,,,,,,,,,,
 , f, ,19591208, , courtney, hipkiss, sa, mclare  vale,2153,27, antill street, , 617 14702214,8599114,6
,,,,,,,,,,,,,,,
 unk, ,32,19840427, , georgia, stratou, nt, ngukurr,2148,14, pickles street, , 613 40 796643,2143164,3
,,,,,,,,,,,,,,,
   eng, f,10,20060214, dr, archer, dickenson, qld, keppel sands,4132,4, janari place, furlough house, 613 61986365,9218174,3
,,,,,,,,,,,,,,,
 chi, m,36,19800902, , flynn, chen, vic, kaniva,4500,33, maxworthy street, garaweuh, 08 16051048,9086629,0
,,,,,,,,,,,,,,,
   eng, f, ,19610513, , caitlin, harden, wa, maranup,3073,9, , , 08 16055135,1232797,3
,,,,,,,,,,,,,,,
   ind, m,31,19850207, pfc, bailey, sujan, nsw, coaldale,2820,6, dobson place, , 612 36872179,9782242,5
,,,,,,,,,,,,,,,
 cze, f,26,19900226, , emiily, fuchsova, qld, boyatup,2251,17, kadina crescent, kareela, 08 28783257,2277864,7
,,,,,,,,,,,,,,,
   usa, f, ,19560601, , lachlan, foley, nsw, blue haven,2298,20, brickhill place, buckhobble, 2 49791767,9812597,3
,,,,,,,,,,,,,,,
   ser, m,37,19791121, , riley, soric, nsw, coolum beach,2256,22, hughes crescent, , 02 48574483,7564908,8
,,,,,,,,,,,,,,,
 usa, f,32,19840512, , leah, singleton, s a, mountain creek,5051, , esau place, , 7 79926957,1178832,4
,,,,,,,,,,,,,,,
   usa, f,30,19860708, pfc, emma, gillespie, nsw, clarence town,5159,42, allwood street, , 612 70283928,1131141,0
,,,,,,,,,,,,,,,
   dan, f,34,19820219, ms, talissa, mandelbrot, vic, gerang gerung,2575,10, popplewell place, isabella est, 618 67917505,3173774,2
,,,,,,,,,,,,,,,
   unk, f,23,19931103, , james, stratou, vic, korong vale,5600,141, abercorn crescent, professional centre, 8 88221979,4731953,1
,,,,,,,,,,,,,,,
   unk, ,34,19820114, , paris, streckfuss, , sea lake,6722,17, cobby street, , 08 00333417,8881487,8
,,,,,,,,,,,,,,,
 unk, f,31,19850807, , Iilly, scjum, tas, port arthur,3088,50, irwin street, , 07 65226024,8872611,8
,,,,,,,,,,,,,,,
 usa, f,33,19830105, , alec, bowes-johnston, vic, addington,4227, , fred johns crescent, , 8 95889499,9992137,3
,,,,,,,,,,,,,,,
   usa, f,21,19950215, pfc, samantha, french, vic, panmure,7307,20, tanumbirini street, , 8 57631234,1891177,6
,,,,,,,,,,,,,,,
 eng, f,27,19890321, , harry, hallman, qld, ele ctra,3127,184, parkin street, the park, 3 95903464,4256195,5
,,,,,,,,,,,,,,,
 usa, m, ,19100521, , dylan, barker, , yarra junction,4226,20, clive steele avenue, brindabella specialist centre, 08 6321 958,5651933,3
,,,,,,,,,,,,,,,
 unk, f, ,19771027, , oliver, aaberg, sa, woodville gardens,4815,17, maitland street, argyle village, 07 48528841,3063758,4
,,,,,,,,,,,,,,,
   usa, ,28,19881212, mr, patrick, lyons, nsw, wombeyan caves,3717,14, salsola street, iowanna, 02 04942468,9533221,9
,,,,,,,,,,,,,,,
   usa, f,20,19960628, mr, charlee, williams, vic, melton south,7325,31, lesueur place, , ,4853281,5
,,,,,,,,,,,,,,,
 unk, f,22,19940120, , rebekah, scogin, vic, carlton 5outh,3088,7, rule street, figtree, 618 85301086,5016409,3
,,,,,,,,,,,,,,,
 eng, f, ,19430810, , liam, clawson, vic, marong,5164,92, , , 8 89888743,9363902,6
,,,,,,,,,,,,,,,
   jap, m,22,19940711, mr, bailee, numajiri, , golden grove,2010, , goldsborough close, rushall park, 03 81236636,1456444,0
,,,,,,,,,,,,,,,
 usa, f,22,19941107, mr, james, serrano, nsq, yatte yattah,4740,35, rischbieth crescent, , 02 42769666,2610770,6
,,,,,,,,,,,,,,,
 eng, m,9,20070411, ms, jayden, ryely, , ernest,5000,61, ingamells street, , 04 75210421,8286583,8
,,,,,,,,,,,,,,,
   usa, , ,19940515, mr, annabel, manning, nsw, newport beach,3995,1300, jaeger circuit, , 07 10443429,1591624,6
,,,,,,,,,,,,,,,
   unk, ,31,19851005, , chloe, scolastique, qld, gaeta,2211,28, osburn drive, , 3 23310698,8472531,8
,,,,,,,,,,,,,,,
   ira, m,36,19800112, , jordyn, nasiri, nsw, westleigh,2147,7, rivett street, , 612 17490967,9863994,1
,,,,,,,,,,,,,,,
 usa, f,23,19930624, , blake, olf, vic, seville,2101,22, jull place, brentwood village, 08 71769865,9219346,0
,,,,,,,,,,,,,,,
   ind, f,32,19840117, , jeremiah, vallath, qld, mount irving,6150,119, bibb place, , 3 51042068,9075845,3
,,,,,,,,,,,,,,,
 ind, f,9,20071204, , silas, sajeev, vic, donvale,6059,92, michell ztreet, tabbagong, 08 21566464,9346339,2
,,,,,,,,,,,,,,,
 chi, f,33,19830814, , christopher, hsaio, qld, mooroobool,2870,47, templestowe avenue, orana gardens retir ement village, 03 70600497,9911278,9
,,,,,,,,,,,,,,,
   usa, m, ,19610218, mr, aleesha, hurley, nsw, pullabooka,3206,1, hardman street, pyramid caravn park, 612 69142920,1528528,1
,,,,,,,,,,,,,,,
 usa, f,9,20070418, pfc, george, robbins, vic, broken hill,4108,9, ashley drife, , 08 23761245,9297438,8
,,,,,,,,,,,,,,,
   rus, f,23,19931026, , lani, karin, vic, jumbuk,3196,5, beetaloo street, athlone, 8 13049972,1627035,7
,,,,,,,,,,,,,,,
   usa, m,34,19821112, , portia, chan, vic, yarra junction,2045,20, keys crescent, currumbin hill, 618 67956650,3640473,1
,,,,,,,,,,,,,,,
   eng, f, ,19160504, , georgia, hollands, sa, trott park,4740,1, bendora crescent, tumbeeluwa, 07 79182561,2878103,0
,,,,,,,,,,,,,,,
 unk, f,26,19900604, dr, jack, sclat er, nsw, termeil,7325,263, wilshire street, , 02 41534393,1085152,3
,,,,,,,,,,,,,,,
   unk, f, , , , jade, strawbridge, qld, golden beach,6725,58, coglin place, , 3 92939059,4207926,8
,,,,,,,,,,,,,,,
   ind, f,31,19850718, , jaxson, sruti, nsw, queanbeyan west,3199,83, windradyne street, , 612 11355236,1040692,1
,,,,,,,,,,,,,,,
   chi, ,21,19950825, , fiona, yow, qld, adavale,2663,9, halifax close, kerry street, ,3735779,6
,,,,,,,,,,,,,,,
   chi, m,12,20041115, , christopher, ban, sa, kensington park,2425,144, namatjira drive, gobongo, 07 58229191,4821281,0
,,,,,,,,,,,,,,,
 cze, f,29,19890223, , imogen, korbel, wa, ravensthorpe,5096,5, palana place, binabah, 618 10568746,3448476,0
,,,,,,,,,,,,,,,
 usa, f,2,19840801, ms, lily, graham, vic, watchem,3140,102, woolrych street, phantom ranch, 8 04946993,1028899,2
,,,,,,,,,,,,,,,
 chi, f,24, , ms, blayke, juang, , matraville,2650,6, gilej street, , 02 58176549,2316124,5
,,,,,,,,,,,,,,,
   usa, f,38, , , noah, sosa, nsw, mumbil,2090,39, livingston avenue, rose-lea, 08 28669489,7118406,9
,,,,,,,,,,,,,,,
 eng, f, ,19761013, pfc, chlor, babcocke, qld, wynnum,3810,137, barr-smith avenue, , 07 97356220,7000746,0
,,,,,,,,,,,,,,,
   usa, m,30,19861004, , joshua, cotton, nsw, spring hill,5070,59, sculptor street, , 2 75898123,6359306,7
,,,,,,,,,,,,,,,
 afg, f,37, 197911 1, , liam, jadran, nsw, urana,2066,6, musgrave street, minnawarra farm, 2 81229749,4650371,1
,,,,,,,,,,,,,,,
   eng, f,31,19850816, , cameron, danielson, vic, carisbrook,3400,15, the pines avenue, , 8 28332008,7719039,2
,,,,,,,,,,,,,,,
 ser, ,25,19910721, , finn, mrksjc, nsw, huntingdon,3380,70, cutlack street, , 02 65818078,7034286,7
,,,,,,,,,,,,,,,
   chi, ,31,19850103, , tarshya, mung, nsw, cobargo,3123,9, line place, lumeah cottage, 2 69436915,8845305,3
,,,,,,,,,,,,,,,
 usa, , ,19241025, , lukast, harrington, qld, st albans,3218,438, warramoo crescent, , 03 06238937,5110498,7
,,,,,,,,,,,,,,,
 eng, ,29,19870531, mr, april, morse, qld, stanage,3141,40, howie court, , 613 49745799,8273040,6
,,,,,,,,,,,,,,,
 chi, , ,19461004, ms, , pui, vic, vermnt,5084,20, ainslie avenue, village walk (cnr high s street, 618 93320517,3876123,9
,,,,,,,,,,,,,,,
   swe, f,26, , pfc, natalee, lannefors, wa, karranadgin,2250,6, kulgera street, wirraway, 8 19031047,8387978,3
,,,,,,,,,,,,,,,
   ind, f,29,19870730, pfc, emiily, ulla, , parkville,3304,151, barron street, , ,8575533,6
,,,,,,,,,,,,,,,
   unk, f,39,19770217, , joshua, scirri, vic, kialla west,2283, , guthridge crescent, , 618 63292291,9886200,3
,,,,,,,,,,,,,,,
 ind, f, ,19440116, pfc, tara, kotla, nsw, brundee,3181,7, skardon s treet, , 612 42074926,6488327,6
,,,,,,,,,,,,,,,
   unk, f,29,19871028, ms, julia, aani, nsw, laurel hill,2121,18, vasey crescent, , 2 82455137,3790304,0
,,,,,,,,,,,,,,,
   unk, , ,19951225, , giorgia, aarnoudse, tas, waterloo,2193,4, maclagan street, lambrook, 7 67553289,4213840,1
,,,,,,,,,,,,,,,
 gre, m,34,19820803, dr, abbey, klaras, nsw, girilambone,7270,3, rowntree crescent, flr 5 john flynn medical centr, 02 16014461,3096922,5
,,,,,,,,,,,,,,,
 iri, , ,19360327, mr, naomi, sheridan, vic, dandenong south, 302 8,31, edman close, , 618 89218035,7124992,5
,,,,,,,,,,,,,,,
   jew, f,29,19870223, , matthew, apfel, qld, sippy downs,3155,7, bonython street, , 613 43628831,1714306,2
,,,,,,,,,,,,,,,
 usa, f,27,19890623, , oliver, torres, sa, taperoo,4121,31, meagher place, arnood, 617 97475501,1665519,7
,,,,,,,,,,,,,,,
   sri, m,24,19920903, , kynan, wijesinghe, nsw, kangy angy,6023,186, starke street, , 612 59319296,6336796,0
,,,,,,,,,,,,,,,
   unk, f,32,19840425, , jessica, scirri, vic, dandenong,2327,35, herington street, , 8 51192825,1994848,0
,,,,,,,,,,,,,,,
 tha, m,25,19910826, ms, hamish, luang, vic, lucyv le,2224,56, damala street, , 618 03990467,1045156,3
,,,,,,,,,,,,,,,
 rom, m,33,19830228, , samantha, , nsw, north albury,3192,6, kingscote crescent, , 612 60557867,9782662,1
,,,,,,,,,,,,,,,
   , f,28,19880701, mr, kyle, tuckwell, vic, wendouree,6168,137, lyttleton crescent, ps 410896n, 02 68410907,7583688,8
,,,,,,,,,,,,,,,
 gre, f,29,19870221, , sam, mavroudis, vic, curdies river,2210,41, pinkerton  ircuit, , 03 23462686,3368915,3
,,,,,,,,,,,,,,,
 usa, f,37, 19791 17, , maya, hahn, wa, nullaki,3478,63, callaghan street, , 618 66242979,3753347,3
,,,,,,,,,,,,,,,
   usa, f,37,19791217, , maya, hahn, wa, nullaki,3478,63, callaghan street, , 618 66242979,3753347,3
,,,,,,,,,,,,,,,
 unk, f,20, , , campbell, abbitt, nsw, dinner plain,4557,908, wentworth avenue, , 02 17496971,8183436,2
,,,,,,,,,,,,,,,
 chi, ,21,19951123, , nathan, zong, tas, north ho art,6018,10, maclaurin crescent, , 7 68683232,5048070,1
,,,,,,,,,,,,,,,
   chi, f,25,19910106, , holly, chue, nsw, st clair,3121,2, bonwick place, minjarra, 2 73553876,4973368,2
,,,,,,,,,,,,,,,
 spa, ,23,19930113, , harrison, francya, nsw, shannon brook,2330,11, lahiff place, , 02 54153480,2173280,1
,,,,,,,,,,,,,,,
 jew, m,20,19960302, , angelina, r0cker, nsw, raworth,3006,73, broun place, , 612 10185452,4913267,9
,,,,,,,,,,,,,,,
   , , ,19631019, ms, sybella, paterson, , lavington,5540,14, thorpe street, , 03 56794471,9335826,0
,,,,,,,,,,,,,,,
 eng, f, ,19701206, , pakita, sauvage, sa, otto way,6052,129, , , 617 97233561,1231069,7
,,,,,,,,,,,,,,,
   chi, f,34,19821213, , oliver, meng, vic, strathdownie,3044,22, harcus close, lyndale park, 618 83106422,3280675,0
,,,,,,,,,,,,,,,
   eng, f,21, , ms, ella, britton, qld, horseshoe bay,5113,11, mcdowell street, uarah, 3 85845540,7078289,6
,,,,,,,,,,,,,,,
 eng, ,29,19870511, mr, bianca, hroldson, nsw, ashley,4306,2, marrawah street, glenview, 2 40034138,6143228,0
,,,,,,,,,,,,,,,
   dut, f, ,19471102, , andrew, bachuijs, qld, lake mary,2170,1, rankin street, , 3 26750217,8149191,2
,,,,,,,,,,,,,,,
   wel, f,26,19900309, , fynn, lello, vic, williamstown,4814,72, alma close, , 02 90624462,5769522,0
,,,,,,,,,,,,,,,
   unk, f, ,19350120, dr, shannon, sclafani, vic, wallace,5022, , lampard circuit, , ,1842406,7
,,,,,,,,,,,,,,,
   unk, ,35,19810710, , ruby, stratou, , balcatta,7307,335, davitt close, reinfrew park, 02 44862615,7680402,6
,,,,,,,,,,,,,,,
   usa, ,31, , , makenzie, figueroa, vic, allans flat,2444,89, , , 08 25572132,1937296,3
,,,,,,,,,,,,,,,
 eng, f,36,19801001, , luci, victorsen, nsw, lake heights,2088,7, shirra close, , 2 24716700,4451554,6
,,,,,,,,,,,,,,,
 unk, f,35,19811225, , tristan, strww, vic, beaufort,4655,5, , , 08 33996319,8201358,2
,,,,,,,,,,,,,,,
   chi, f,11,20050224, , caitlyn, thien, nsw, regents park,5277,2, kurrama close, clanville, 02 03556397,4289413,0
,,,,,,,,,,,,,,,
   ser, f,40,19760207, mr, luke, rebaca, vic, syndal,2502,20, guilfoyle street, , 08 38612448,1538828,3
,,,,,,,,,,,,,,,
 rus, f,23,19931026, , lani, karin, vic, jumb uk,3196,5, beetaloo street, athlone, 8 13049972,1627035,7
,,,,,,,,,,,,,,,
 eng, ,30,19860512, , tyler, zephson, , orelia,7469,48, ampt place, cranford, 08 17780561,5711083,3
,,,,,,,,,,,,,,,
   ser, m,38,19780429, , kirra, siprak, qld, pauls pocket,4210,37, hammond close, cargo road, 613 39604652,1833043,3
,,,,,,,,,,,,,,,
   unk, f,20, , , campbell, abbitt, nsw, dinner plain,4557,98, wentworth avenue, , 02 17496971,8183436,2
,,,,,,,,,,,,,,,
 unk, m,35, , , peter, aarcy, nsw, running stream,3960,15, orion place, , 04 25231046,3314636,9
,,,,,,,,,,,,,,,
   unk, f,28,19880516, ms, amber, sciacca, qld, horse creek,2324,1, longman street, , 3 26402564,2113313,1
,,,,,,,,,,,,,,,
 usa, ,31, , , george, greene, nt, finke,3934,14, zhepherdson place, , 03 57955283,9866088,8
,,,,,,,,,,,,,,,
   eng, ,31,19850319, , mikhayla, stidolph, vic, wool wool,6025,1, jansz crescent, glenhurst, 618 15813035,6288076,4
,,,,,,,,,,,,,,,
 usa, f, ,19131205, ms, emiily, moss, vic, elmhurst,6159,41, baracchi crescent, , 08 44506974,6769266,5
,,,,,,,,,,,,,,,
   usa, f,24,19921013, , , washington, nsw, torrington,4217,3, pawsey circuit, , 612 19111068,8530605,0
,,,,,,,,,,,,,,,
 tur, f,33,19831027, hon, nicholas, grse l, wa, rocklea,5023,32, julia flynn avenue, walyaming farms, 8 55301627,2964218,3
,,,,,,,,,,,,,,,
   usa, f,32,19841115, pfc, ethan, sharp, qld, northgate,2250,14, cheetham place, robertson barracks, 07 20068826,7744104,5
,,,,,,,,,,,,,,,
 cze, f,34,19821102, , sophie, mikezka, nsw, brindabella,4118,63, rosebery street, , 02 72487258,1666671,3
,,,,,,,,,,,,,,,
   chi, f,29,19871225, , drew, weng, vic, girgarre,6019,14, florey drive, fairway villas, 08 98659042,1755218,4
,,,,,,,,,,,,,,,
   jap, f, ,19511230, ms, montanna, hiro, qld, yeerongpilly,4680,4, wilkins street, , 613 81552814,5517279,3
,,,,,,,,,,,,,,,
 usa, m,19,19970929, pfc, alisha, floyd, vic, scorespy bc,2170,6, paul coe crescent, , 08 77106371,1219521,4
,,,,,,,,,,,,,,,
 unk, m,29,19871217, , mitxell, scollard, , paddington,2121,4, canberra avenue, strathmore vineyard, 07 07945078,7514578,8
,,,,,,,,,,,,,,,
   cze, f,32,19840204, , zali, burianova, act, parliament house,4655,81, rounsevell street, , 612 73067848,7568250,0
,,,,,,,,,,,,,,,
   cze, f, ,19810402, , sam, kral, nsw, tuena,3129,22, mcmillan crescent, , 612 25784485,7120592,9
,,,,,,,,,,,,,,,
 unk, ,23, 19930 306, mr, kathleen, streich, qld, patrick estate,4750,11, jay place, karinya lodge, 03 74020766,2450800,5
,,,,,,,,,,,,,,,
 chi, f,25,19910303, , brianna, dzeng, vic, lake bolac,4680,67, duigan s treet, , 04 27926784,1645654,0
,,,,,,,,,,,,,,,
 jap, f, ,19360530, , callum, tsutaya, qld, ivanhoe north,4671,14, doutney place, , 04 29486001,3034916,3
,,,,,,,,,,,,,,,
 , ,29,19871213, mr, hana, grubb, wa, birkdale,6233,208, monaghan place, broome vacati n village, ,9061080,1
,,,,,,,,,,,,,,,
   unk, ,31,19851028, , hannah, scjum, , emu plains,4370,3, glasgow street, , 02 70377521,3085919,5
,,,,,,,,,,,,,,,
   eng, f,34,19820801, , daniel, acker, wa, serpentine,2729,14, nymagee place, wrara, 8 96073166,1193376,6
,,,,,,,,,,,,,,,
 ser, m,28,19880720, , helena, delik, qld, laidley creek west,2066,6, harpur street, , 03 14673830,7461268,7
,,,,,,,,,,,,,,,
 jew, f,29,19870223, , matthew, apf l, qld, sippy downs,3155,7, bonython street, , 613 43628831,1714306,2
,,,,,,,,,,,,,,,
   eng, f,27,19890126, , sophie, hooker, nsw, millfield,6063,30, preiss place, , 2 84200152,9784204,1
,,,,,,,,,,,,,,,
 usa, f,28, , ms, nathan, , vic, port fairy,3138,52, ellen place, , 618 95639000,4944149,5
,,,,,,,,,,,,,,,
 eng, ,11,20050128, mr, michael, danielzon, nsw, russell lea, ,2491, goodchild street, , 02 93082087,6610340,7
,,,,,,,,,,,,,,,
   eng, f,30,19860630, , caleb, gibb, , ulladulla,4700, , lumeah street, , 02 15914902,4571240,5
,,,,,,,,,,,,,,,
 ind, ,34,19820209, ms, anneliese, varati, , coona mble,3138,87, cremin close, st mathews retmnt, 07 19176919,6312505,2
,,,,,,,,,,,,,,,
 unk, , ,19380119, , lau ren, scottjackson, wa, northam,2500,13, madigan street, , 8 15712626,6614208,4
,,,,,,,,,,,,,,,
   eng, ,23,19930109, , emiily, walmsley, vic, point lonsdale,5244,1490, gibbons street, , 618 39306568,1994964,1
,,,,,,,,,,,,,,,
 eng, f,25,19910911, , molly, smythe, nsw, box hkll,2321,107, jardine street, redwood village, 03 92713562,1960204,7
,,,,,,,,,,,,,,,
   eng, f,13,20030719, , brooklyn, hutson, wa, burrup,5575,9, weathers street, , 08 89221904,8812690,8
,,,,,,,,,,,,,,,
 ind, f,26,19900331, ms, lilian, sethi, nsw, wulgoolga,3165,176, wongoola close, , 02 95671859,6676930,5
,,,,,,,,,,,,,,,
 fre, ,24,19920415, , lucas, labb, qld, james cook university,2137,104, federal highway, ponderosa, 03 43753924,7201686,1
,,,,,,,,,,,,,,,
   chi, ,12,20040710, , michaela, hui, nsw, narrabri,2251,62, warramoo crescent, , 2 05641258,5018559,5
,,,,,,,,,,,,,,,
 rom, f,28,19880404, ms, chelsea, gherea, nsw, rockdale,3068,24, sttrickland crescent, , 2 73497771,2446454,9
,,,,,,,,,,,,,,,
   unk, f,34,19820221, , hannah, abat, vic, south dudley,3150,5, hartley street, pleasant view, 08 86445728,6949768,8
,,,,,,,,,,,,,,,
   iri, , ,19360327, mr, naomi, sheridan, vic, dandenong south,3028,31, edman close, , 618 89218035,7124992,5
,,,,,,,,,,,,,,,
 fre, f,26,19900421, ms, chloe, salerou, , cranbourne north,6395,3, chewings street, billycreek farm, 07 24341958,6528582,2
,,,,,,,,,,,,,,,
 ger, f,24,19921224, ms, samant ha, hofer, nsw, billinudgel,2508,35, keverstone circuit, , 2 83240784,2675932,8
,,,,,,,,,,,,,,,
   usa, m,31,19850424, , chloe, david, qld, carseldine,2370,17, butterley place, brentwood vlge, 3 42602901,8944282,4
,,,,,,,,,,,,,,,
   eng, f,29, , ms, mia, earl, , thornlie,2154,296, lyrebird place, marx hill street, 08 68265427,4090992,9
,,,,,,,,,,,,,,,
   chi, f,6,20100303, , hannah, chau, nsw, oxford falls,4060,77, cotton street, moonbi, 07 94071626,2978479,3
,,,,,,,,,,,,,,,
 usa, ,23,19930311, ms, ryan, french, vic, wattle glen,4817,19, hansen circuit, , 8 78131435,4852507,8
,,,,,,,,,,,,,,,
 usa, ,31, , , makenjie, figueroa, vic, allans flat,2444,89, , , 08 25572132,1937296,3
,,,,,,,,,,,,,,,
   ind, ,27, , , montanna, takhar, wa, reservoir,4034,1631, mcbryde crescent, , 08 17085863,9016981,9
,,,,,,,,,,,,,,,
   unk, f, ,19830627, , oliver, scopel, wa, ,5011,19, archdall street, , 08 03195297,5764356,8
,,,,,,,,,,,,,,,
   chi, f, ,19850415, ms, joshua, qi, vic, girgarre,4350,24, forbes street, australia arcade, 08 05672421,6676049,4
,,,,,,,,,,,,,,,
 eng, f,33,19830804, mr, ella, , tas, st marys,3165,3, dempsey place, , 7 18076404,5566367,3
,,,,,,,,,,,,,,,
   usa, f, ,19680505, , hudson, baker, vic, victoria valley,2029,93, wybalena grove, santa lucille, 8 79017203,4668468,8
,,,,,,,,,,,,,,,
   usa, f, ,19130224, , brayden, goodwin, wa, kedron,3088,34, harry hopman circuit, , 618 84612657,2315435,2
,,,,,,,,,,,,,,,
 fin, f,35,19810227, , josthua, keinonen, vic, black hill,3775,29, cavanaugh street, , 618 71879857,2578644,0
,,,,,,,,,,,,,,,
   unk, m, ,19511204, , jackson, strampher, qld, goowarra,3188,166, mileham street, pacific villas, 03 31219625,3813311,8
,,,,,,,,,,,,,,,
   ger, m,32,19840728, , christian, kresch, nsw, yerong creek,5600,81, pelsart street, , 612 63846126,1803628,5
,,,,,,,,,,,,,,,
   ger, f, ,19401211, hon, carmen, krahmer, vic, westmeadows,4220,58, levien street, , 08 92638700,2996132,9
,,,,,,,,,,,,,,,
 unk, f, , 19480 911, ms, cassidy, abbitt, qld, kooralbyn,2330,98, emery street, aleon, 07 90644834,9841056,9
,,,,,,,,,,,,,,,
   eng, m,11,20050202, , ethan, scrivens, vic, eaglemont,2073,19, gorrie close, yambacoona, 08 30658562,8143385,1
,,,,,,,,,,,,,,,
   usa, m,26,19900121, ms, juliana, chaney, nsw, tennyson point,3056,9, tuross close, , ,8087877,0
,,,,,,,,,,,,,,,
 cze, f,27, , ms, georgia, sisitka, vic, darlimurla,2605, 1 36, lukey place, unt 2, 618 17989266,2611636,2
,,,,,,,,,,,,,,,
   eng, f,28,19881209, , isabella, hardwick, act, fisher,4402,32, maltby circuit, mt pleasant, ,1475645,5
,,,,,,,,,,,,,,,
