 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
   unk, m, , , , jack, scinto, wa, hester,3215,68, clubbe crescent, , 08 67946143,3978620,7
,,,,,,,,,,,,,,,
   pak, m,9,20070129, , tommi-lee, gurshani, vic, whitfield,4575,90, forbes street, , 8 33777102,9606931,8
,,,,,,,,,,,,,,,
   afg, f,9,20070608, mr, blake, tarklani, nsw, mannum,2104,13, lochbuy street, , 02 88607902,9646970,3
,,,,,,,,,,,,,,,
   ina, m,43,19731015, , riley, setiawan, qld, tamborine,3260,47, , lyndon lodge, 3 77480319,9375534,3
,,,,,,,,,,,,,,,
   ger, f,11,20050825, , joel, friedel, nsw, lake wyangan,2207,82, ashburton circuit, moongi, 2 88188633,4695240,2
,,,,,,,,,,,,,,,
   ind, f,27, , mr, sophie, rajwani, qld, burrum heads,3031,10, tallara parkway, , 613 37186198,3783581,3
,,,,,,,,,,,,,,,
   tur, f,36,19800519, , joshua, periganovlu, sa, hamilton,3355,41, stephen street, broadwaters, 07 47034771,9629138,7
,,,,,,,,,,,,,,,
   ind, m,23,19931030, , jessica, suravinda, wa, hamilton,5008,691, moore street, north hill medical centre, 618 32883869,6161691,8
,,,,,,,,,,,,,,,
   unk, f,39,19770624, ms, jacob, strawbridge, vic, torquay,3199,3, lochbuy street, rockedale shopping vlge, 08 29338303,9079942,5
,,,,,,,,,,,,,,,
   usa, f, ,19020502, , vanessa, walter, nsw, chatswood,2444,5, spofforth street, rowethorpe cygnet hostel, 2 68445940,3589678,7
,,,,,,,,,,,,,,,
   eng, m,26,19901005, , phoebe, rupertson, qld, ghinghinda,2749,12, groom street, , 3 96897114,8338358,3
,,,,,,,,,,,,,,,
   usa, f,12,20040915, , holly, ferrell, sa, new town,2486,10, badgery street, , 04 89040034,4806998,2
,,,,,,,,,,,,,,,
   usa, f, , , , talia, acosta, , north bondi,6163,36, blamey crescent, , 07 42371679,5488823,1
,,,,,,,,,,,,,,,
   ind, f,28,19881216, , lily, yateen, sa, modbury,2032,55, loton place, , 617 37420241,7487694,6
,,,,,,,,,,,,,,,
   usa, ,22,19940205, , jordan, fulton, nsw, binningup,4068,19, lipscomb place, geebung, 2 28922283,2788410,7
,,,,,,,,,,,,,,,
   eng, ,36,19800621, , oscar, bramson, nsw, ellenborough,3030,124, medley street, the falls, 612 67245874,7258492,2
,,,,,,,,,,,,,,,
   eng, f, ,19740308, ms, aiden, scriven, sa, inman valley,2088,22, mcdonnell close, , 07 03133188,1900244,4
,,,,,,,,,,,,,,,
   chi, f,20,19960207, , kiara, luk, qld, thangool,3023,27, fitzhardinge crescent, , 613 01306354,1172289,5
,,,,,,,,,,,,,,,
   unk, f, ,19700909, mr, miranda, scirri, nsw, catalina,4885,4, mcluckie crescent, , 612 91221244,9215598,5
,,,,,,,,,,,,,,,
   ind, f, ,19621104, dr, olivia, unnikrishnan, act, evatt,3356,142, horsley crescent, , 2 84229160,4066475,1
,,,,,,,,,,,,,,,
   ser, m,33,19830717, , annabelle, bodaroga, nsw, hamilton south,3135,181, yuranigh court, , 612 50842098,1408370,8
,,,,,,,,,,,,,,,
   usa, f,35,19810719, sgt, abbey, webster, sa, west hindmarsh,4521,52, moorhouse street, rowethorpe, 7 31839072,6896676,6
,,,,,,,,,,,,,,,
   usa, f,31, , mr, juliana, powell, , broadbeach waters,4077,9, marrawah street, , 03 82384852,6876706,1
,,,,,,,,,,,,,,,
   ser, f,30,19861220, , trey, vjukic, vic, lake mundi,2530,15, , , 08 37109376,9278188,0
,,,,,,,,,,,,,,,
   usa, m, ,19730807, , lani, gay, nsw, taralga,5267,119, shumack street, merrydale, 07 02474037,6378787,9
,,,,,,,,,,,,,,,
   rom, f, ,19591002, ms, raquel, dumitrescu, nsw, uarbry,5073,3, lyndon street, , 2 86245463,5587454,8
,,,,,,,,,,,,,,,
   ger, ,23,19930521, ms, ethan, oberhammer, wa, boddington,2008,480, stockdale street, , 618 98688100,9424682,9
,,,,,,,,,,,,,,,
   unk, m,25, , mr, alexa-rose, aarts, vic, cranbourne north,6330,10, bugden avenue, , 8 88324765,1858916,5
,,,,,,,,,,,,,,,
   ira, ,34,19820616, sgt, jonah, ghorbani, nsw, berridale,3056, , eggleston crescent, braimer garden, ,6098085,3
,,,,,,,,,,,,,,,
   hun, f, ,19931229, , tiana, csillac, wa, beacon, ,20, beasley street, , 618 70918859,1678943,5
,,,,,,,,,,,,,,,
   dut, ,29,19870214, dr, imogen, kolen, nsw, glenhaven,6157,6, hardy place, , 03 82110721,5014856,3
,,,,,,,,,,,,,,,
   usa, f, ,19850330, ms, amy, garrett, qld, willowbank,2280,132, de garis place, optima lodge, 613 19678357,2320013,4
,,,,,,,,,,,,,,,
   unk, f,36,19800911, mr, tahni, scoby, vic, cardinia,2550,11, condamine street, ardess, 8 30041079,2712847,0
,,,,,,,,,,,,,,,
   usa, f,19,19970625, ms, lily, puckett, wa, mount helena,6603,47, carroll street, kildrummie, 8 03772477,9683614,8
,,,,,,,,,,,,,,,
   usa, f,28,19880219, ms, rachel, buchanan, , gilmore,2032,7, pullen street, , 02 72937544,1707701,3
,,,,,,,,,,,,,,,
   unk, f,31,19850221, , hannah, aarnoudse, , meadows,4032,11, bushby close, genambig 16, 08 68674940,1232229,2
,,,,,,,,,,,,,,,
   usa, f,19,19971219, , george, lau, qld, glenmoral,2021,707, kendall place, , 03 71988479,6312911,7
,,,,,,,,,,,,,,,
   unk, f,23,19930108, , bridget, aarnoudse, nsw, lakesland,4812,268, abercorn crescent, caloola court, 08 77287219,3813187,5
,,,,,,,,,,,,,,,
   unk, f,24,19921201, , nicholas, sclater, nsw, east corrimal,2036,43, sweet place, kimberly vale, 04 18026756,5830656,9
,,,,,,,,,,,,,,,
   chi, f, , , dr, stephanie, lai, wa, sandsprings,3186,146, kinchela crescent, , 08 58842634,2191689,8
,,,,,,,,,,,,,,,
   usa, , ,19320430, hon, eloise, strong, nsw, darbys falls,3105,2, cane place, yarrawah, 02 93730607,4851358,7
,,,,,,,,,,,,,,,
   abo, , ,19071031, , carly, worosun, vic, barramunga,6112,7, mcaulay place, glenfern park, 08 75481927,9121254,9
,,,,,,,,,,,,,,,
   ind, f,23, , , nicholas, pohani, qld, crystal brook,3478,8, carstensz street, , 613 93240224,4755643,7
,,,,,,,,,,,,,,,
   afr, , ,19210529, , imogen, lwanga, , helena valley,5271,5, besant street, , 04 00637532,3733564,7
,,,,,,,,,,,,,,,
   unk, f,25,19911204, , flynn, sclater, vic, balmattum,7051, , tanjil loop, , 08 03253640,4198379,0
,,,,,,,,,,,,,,,
   usa, f,19,19970318, rev, declen, bender, nsw, bingie,6069, , daley crescent, , 612 12546961,5082714,7
,,,,,,,,,,,,,,,
   eng, f, ,19360221, mr, dylan, appleton, qld, deepwater, ,40, macarthur avenue, , 3 46223850,3361546,2
,,,,,,,,,,,,,,,
   cze, m, ,19790212, , joshua, kasmarek, qld, south east nanango,2770,80, binya place, henry kendall bayside, ,5977643,6
,,,,,,,,,,,,,,,
   usa, f,11,20050120, ms, megan, goff, qld, south trees,3197,21, cobb crescent, , 03 08327999,5776701,7
,,,,,,,,,,,,,,,
   ind, f,34,19820201, , darcy, advani, vic, walpa,2072,57, costello circuit, key, 618 17103216,4597525,7
,,,,,,,,,,,,,,,
   chi, f,29,19870922, ms, jackson, qiao, nsw, larras lee,2110,30, florina place, baldivis estate, 2 26157163,2403687,1
,,,,,,,,,,,,,,,
   usa, f,39, , , joel, gardner, qld, brighton,6054,185, charteris crescent, , 613 86069216,1507670,8
,,,,,,,,,,,,,,,
   spa, f,39,19770407, ms, spyke, cerda, qld, indooroopilly,3073,15, parkhill street, , 613 89930483,9036708,4
,,,,,,,,,,,,,,,
   usa, , ,19701112, , kody, payne, wa, ,2037,110, maygar street, , 08 34396746,6289427,4
,,,,,,,,,,,,,,,
   ind, f,31,19850714, , todd, udipi, , morwell,2017,141, kent street, , 02 10133269,8103892,4
,,,,,,,,,,,,,,,
   chi, f,28,19881225, pfc, stephanie, chiao, nsw, blue bay,2035,37, namatjira drive, park ave vet hosptl, 612 00444012,1310860,0
,,,,,,,,,,,,,,,
   fin, f,31,19851009, ms, jasmine, pakkarinen, qld, etty bay,4164,7, chowne street, , 3 03612904,6552855,0
,,,,,,,,,,,,,,,
   pak, f, ,19331126, mr, james, khodokur, nsw, west ryde,3032,46, jabanungga avenue, redwood village, 08 57315774,4348281,2
,,,,,,,,,,,,,,,
   usa, ,36,19801104, pfc, briley, miles, nsw, toms creek,2147,358, tasmania circle, lyndale, 612 50822125,6773993,3
,,,,,,,,,,,,,,,
   swe, m,29,19870928, , , widemark, vic, narre warren east,3081,20, holden crescent, , 08 89234042,6635186,7
,,,,,,,,,,,,,,,
   ina, f, ,19300329, dr, yasmin, sutanto, qld, laidley creek west,3037,11, jardine street, port 363v, ,4717468,1
,,,,,,,,,,,,,,,
   eng, f,38,19781205, , holly, scrivener, vic, harcourt,4122,89, clive steele avenue, , 08 38166692,5887994,7
,,,,,,,,,,,,,,,
   unk, f, ,19981127, , kyle, aaron, wa, skeleton rock,6111,16, wakelin circuit, , 08 35262803,3477210,1
,,,,,,,,,,,,,,,
   usa, f,27,19890211, ms, madeleine, walsh, wa, tarin rock,2049,16, coolac place, , 8 75229517,4897026,8
,,,,,,,,,,,,,,,
   ind, m,37,19790710, ms, nathan, sukanya, vic, glen creek,3174,42, warren place, , 8 00618730,4692640,8
,,,,,,,,,,,,,,,
   rus, f,26,19901001, , deakin, frankivsk, , coomera,2558,14, musgrave street, clifden, 07 99973162,9271272,0
,,,,,,,,,,,,,,,
   usa, m,12,20041106, , grayson, booth, nsw, tooraweenah,4014,134, freda gibson circuit, blue gum hill, 2 19165817,5528391,5
,,,,,,,,,,,,,,,
 usa, ,32,19804813, , kiera, wilkins, nsw, winmalee,2211,105, currong street, little forest, 612 87844313,8778976,1
,,,,,,,,,,,,,,,
   eng, f,29,19870913, , michael, rutherford, vic, smythes creek,4413,348, marcus clarke street, , 02 66504652,8916762,2
,,,,,,,,,,,,,,,
   usa, f,36,19800627, , fergus, ochoa, nsw, abermain,2257,27, blackbutt street, margaret river carvn park, 02 40186842,3070122,2
,,,,,,,,,,,,,,,
   chi, f,41,19750331, , madison, , vic, bonang,2594,21, john young crescent, , 618 08667138,6887486,6
,,,,,,,,,,,,,,,
   eng, m,31,19850608, , luke, abrahams, nsw, kentlyn,6239,249, glynn street, , 2 59450229,2790898,2
,,,,,,,,,,,,,,,
   , ,10, , ms, arren, coxon, vic, dallas,4207,1, southern cross drive, unt 5, 618 78617810,5739209,6
,,,,,,,,,,,,,,,
   chi, ,28,19880430, ms, holly, dun, qld, stanthorpe,3278,38, , , 3 32730844,7983098,4
,,,,,,,,,,,,,,,
   fre, f,34,19820705, , jessica, juillet, vic, metung,6208,30, east place, brer park, 8 79832259,1266717,4
,,,,,,,,,,,,,,,
   , ,24,19920628, , lucy, udovicic, , eden,2287,2, beltana road, , 08 48234328,2703479,4
,,,,,,,,,,,,,,,
   , ,21,19950403, , stephanie, lanyon, tas, musselroe bay,2283,22, cygnet crescent, , 02 29602492,5687030,9
,,,,,,,,,,,,,,,
   usa, m,35, , ms, nathan, rollins, nsw, jindabyne,2515,1, hobby place, , 02 46107700,5038296,3
,,,,,,,,,,,,,,,
   unk, f,29,19871013, , caitlin, strainij, qld, bahrs scrub,4680,4, westbury circuit, faringdon village, 03 91419679,2101251,8
,,,,,,,,,,,,,,,
   usa, f,29,19870118, , zoe, fuller, qld, gogango,2041,16, gingana street, midlands terrace, 07 83145312,1649826,7
,,,,,,,,,,,,,,,
   eng, f,31,19850610, ms, isabella, abrahamson, qld, rocklea,6056,23, edlington street, kojonolokan hills, 03 08511496,1179107,5
,,,,,,,,,,,,,,,
   ind, ,30,19861207, ms, joel, bhaskar, qld, susan river,6281,31, service street, karingal nursing wing, 613 30560170,9696453,1
,,,,,,,,,,,,,,,
   sri, f, ,19310210, , emma, desaram, nsw, carrai,2560,122, archel place, , 612 99020301,1658295,1
,,,,,,,,,,,,,,,
   usa, f, ,19390509, ms, max, mclaughlin, vic, colbinabbin,4621,23, waite street, berragoon, 07 06188151,9393686,2
,,,,,,,,,,,,,,,
   chi, f,41,19750331, mr, bethany, xun, nsw, picton,6059,9, crisp circuit, , 2 93215775,8547826,0
,,,,,,,,,,,,,,,
   pak, f,24,19920930, , alexandra, khansama, nsw, kilsyth,2444,56, noala street, , 02 65072684,1214199,0
,,,,,,,,,,,,,,,
   unk, ,40,19760828, , amy, streich, qld, riverleigh,6159,10, folingsby street, , 03 50743704,4144995,5
,,,,,,,,,,,,,,,
   eng, m,29,19870714, , joshua, donalds, vic, canley heights,2165,665, kennerley street, trilby, 618 20859091,6665575,3
,,,,,,,,,,,,,,,
   eng, f,40, , , tai, kipling, qld, pin gin hill,3250,5, , bangor lodge, 3 83665042,6542791,7
,,,,,,,,,,,,,,,
   unk, f,10,20060824, ms, abby, abbitt, sa, truro,6218,625, kingsmill street, school house, 7 58736151,5371764,9
,,,,,,,,,,,,,,,
   spa, f,36,19800920, mr, daniel, pascual, , port macquarie,3898,27, nemarang crescent, , 08 67322768,5458982,9
,,,,,,,,,,,,,,,
   ger, ,9,20070306, ms, adam, maehl, sa, carrieton,5159,3, tom roberts avenue, roblinvale, 617 68497417,8956661,2
,,,,,,,,,,,,,,,
   usa, f,41,19751211, , sarah, fields, qld, dakenba,4280,147, crease place, villa 375, ,2524212,4
,,,,,,,,,,,,,,,
   rus, f,22,19941216, mr, wil, leonov, nsw, st huberts island,7015,14, cassinia street, , 02 97708064,8120873,2
,,,,,,,,,,,,,,,
   ger, m,24,19920601, pfc, , kisslinger, qld, inala,3207,5, burkitt street, , 3 36935475,1899831,5
,,,,,,,,,,,,,,,
   unk, ,27,19891026, , max, , nsw, orange,6159,53, st john crescent, locn 1025, 02 20006518,4106511,0
,,,,,,,,,,,,,,,
   eng, f,33,19830704, ms, lachlan, winter, qld, kaimkillenbun,5034,21, investigator street, , 3 77464951,3628852,7
,,,,,,,,,,,,,,,
   unk, f,21,19951001, ms, fraser, aarnoudse, nsw, numeralla,6562,16, toutcher street, , 2 50742661,3441332,0
,,,,,,,,,,,,,,,
 usa, f,22,19940110, ms, madeline, stutton, qld, mentmore,2040,19, hodgson crescent, , 02 16472214,2374953,6
,,,,,,,,,,,,,,,
   cze, f,39,19770728, , harry, krejcova, nsw, coffs harbour,2118,35, maconochie crescent, , 02 04826770,9145043,5
,,,,,,,,,,,,,,,
   swe, f,32,19840706, dr, matthew, holmlund, vic, waverley,5422,15, bowser place, , 618 68064056,9541942,1
,,,,,,,,,,,,,,,
   usa, f,33,19831003, , emiily, moss, nsw, guyra,2448,76, enright crescent, , 02 04875091,2070951,4
,,,,,,,,,,,,,,,
   ger, f,33,19830324, mr, dayna, herzl, qld, redlynch,4810,67, allchin circuit, , 3 60764265,2195349,6
,,,,,,,,,,,,,,,
   wel, ,30,19860323, ms, ryan, jone, nsw, seven hills,2449,23, carlile street, , 02 82193661,8590521,4
,,,,,,,,,,,,,,,
   unk, f,7, , ms, nicholas, strazzari, vic, rockbank,3147,44, fossey street, , 618 21574028,4378251,0
,,,,,,,,,,,,,,,
   eng, ,26,19900228, ms, jordan, spearing, nsw, five dock,5290,25, barnes place, , 03 63202586,2656798,8
,,,,,,,,,,,,,,,
   unk, f,19,19970714, , cameron, strangway, qld, the percy group,6058,21, sharwood crescent, , 613 18535124,1476400,6
,,,,,,,,,,,,,,,
   gre, ,38,19780331, ms, jayden, tsigakou, tas, aberdeen,6061,44, ashburner street, , 7 01352766,8818543,5
,,,,,,,,,,,,,,,
   ger, m,35,19810210, , taylah, toth, , currajong,4223,53, tytherleigh street, , 02 19332804,8783735,0
,,,,,,,,,,,,,,,
   eng, f,8,20080701, , blake, quigley, wa, juna downs,4737,40, derrington crescent, , 08 61086322,4341501,6
,,,,,,,,,,,,,,,
   ina, f,29,19871008, , adam, iskandar, vic, morrisons,2350,21, fox place, , ,7798039,8
,,,,,,,,,,,,,,,
   ina, f, , , , bailey, tjandra, qld, oxford,4171,56, alderson place, , 613 87889146,2596361,0
,,,,,,,,,,,,,,,
   ser, m,34,19821205, mr, jackson, mladvic, vic, parkville,2612,34, elkedra close, banksia village, ,6843906,4
,,,,,,,,,,,,,,,
   usa, ,31,19850428, dr, nathan, nelson, nsw, charlotte bay,2134,100, mcclelland avenue, , 02 21398449,9360875,0
,,,,,,,,,,,,,,,
   chi, f, ,19920929, , matthew, pok, qld, holland park west,2226,55, hollway street, north western subrbs post cnt, 03 96151581,1141793,0
,,,,,,,,,,,,,,,
   eng, f,11,20050110, ms, joshua, scrivenor, nt, scarborough,5609,14, salsola street, , 3 00100373,4166775,2
,,,,,,,,,,,,,,,
   ind, f,20,19960104, ms, konstantinos, prudvi, nsw, edensor park,3558,3, perrin circuit, , 08 05557611,5032113,0
,,,,,,,,,,,,,,,
   ser, m,37, , ms, aidan, mlacnik, qld, mount lofty,4875,10, kosciusko avenue, , 07 03187504,3809606,6
,,,,,,,,,,,,,,,
   eng, f,26,19900129, , alexandra, rennold, nsw, mays hill,3802,105, bingley crescent, , 02 20540267,5040018,5
,,,,,,,,,,,,,,,
   dan, f, ,19840418, , chloe, gruntvig, nsw, greenwich,3802,101, debenham street, , 08 68938579,2573534,4
,,,,,,,,,,,,,,,
   wel, m,28,19880928, , , upjohn, nsw, bangor,2567,6, bacchus circuit, cambooya, 07 47758960,8581911,8
,,,,,,,,,,,,,,,
   usa, m,33,19830324, , april, wallace, wa, rye,4860,2, wedgewood close, , 08 08152006,1308944,8
,,,,,,,,,,,,,,,
   eng, f,28,19880913, , alice, jephson, qld, bull creek,7310,1, swinden street, , 3 24846395,9517943,5
,,,,,,,,,,,,,,,
   unk, f,29,19870331, , george, aakre, nsw, lowesdale,3125,13, maclean street, , 02 98883009,5341663,5
,,,,,,,,,,,,,,,
   nor, ,35,19810727, ms, zachary, helgeland, vic, cranbourne east,6333,1430, hutcheon place, table top, 8 38221146,8872091,2
,,,,,,,,,,,,,,,
   unk, f, ,19420312, ms, amy, aakre, wa, myara,6156,204, macnamara place, , 08 79207592,3745233,0
,,,,,,,,,,,,,,,
   ira, m, ,19600904, ms, caitlin, motamedi, qld, ilfracombe,3450,40, dallachy place, , 613 48529095,6314862,0
,,,,,,,,,,,,,,,
   gre, m,31,19850806, , connor, stamanakis, nsw, pyree,3352,122, fleetwood smith street, , ,1356343,9
,,,,,,,,,,,,,,,
   ser, f,27,19890306, , katelin, maretic, wa, israelite bay,2711,680, blackham street, , 03 02935921,9210731,8
,,,,,,,,,,,,,,,
   ser, , , , , alessandra, hadzic, vic, wulgulmerang,3084,4, gruner street, , 08 09975476,7313075,0
,,,,,,,,,,,,,,,
