 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id
   ind, m, ,19850428, mr, jasmyn, raviraj, qld, mount delaney,5008,32, shackleton circuit, ingrove, 07 52910942,2792071
,,,,,,,,,,,,,,
   abo, m, ,19081112, , lauren, munyarryun, act, fadden,3156, , stevenson street, eagleview, 612 29840090,5719955
,,,,,,,,,,,,,,
   usa, f,30,19860502, , joshua, bond, , lindfield,2443,1, norton street, byron arcade, 08 89106383,2015243
,,,,,,,,,,,,,,
   chi, m,26,19900610, , jade, jing, tas, sorell creek,2227,111, skardon street, , 617 56597150,6552680
,,,,,,,,,,,,,,
   ind, f,34,19820408, pfc, benjamin, buhpathi, nsw, yetholme,4035,99, bulloo place, , 612 15792763,5588466
,,,,,,,,,,,,,,
   ind, f,34,19820620, ms, , konda, vic, toowoomba,2615,10, napthali close, eagle springs, 08 23292188,3070237
,,,,,,,,,,,,,,
   unk, f,22,19940603, ms, cameron, scirri, , callignee,2444,15, harford street, whispering springs, 02 58393227,7064968
,,,,,,,,,,,,,,
   chi, f,21,19950511, , william, yang, wa, latham,2340,7, lyndon street, , 618 89420948,7640110
,,,,,,,,,,,,,,
   usa, f,33,19831106, ms, petreece, chavez, vic, oakleigh,2103,53, blacket street, katherine low leve, 8 13381269,6660212
,,,,,,,,,,,,,,
   ser, f,31,19850820, , jarod, privsek, qld, qunaba,3108,12, wakelin circuit, , 613 11322931,7831606
,,,,,,,,,,,,,,
   usa, f,20,19960823, , tayla, campos, nsw, north nowra,3777,23, wells station road, , 2 91300408,6154324
,,,,,,,,,,,,,,
   eng, f, ,19640624, , chloe, kitchen, qld, murray upper,4213,5, donald place, cooroora, 3 88978087,2588177
,,,,,,,,,,,,,,
   unk, f, ,19330121, , nicholas, aaron, nsw, hilldale,4462,85, fullerton crescent, , ,5465890
,,,,,,,,,,,,,,
   usa, f,11, , pfc, sophie, osborne, nsw, bomaderry,3121,20, fleming street, , 02 83207696,1362695
,,,,,,,,,,,,,,
   jew, f,31,19850702, ms, joshua, manischewitz, qld, kapaldo,2018,6, blackman crescent, lamington national, 3 94670242,4943223
,,,,,,,,,,,,,,
   unk, ,39,19770218, , bailee, scofield, vic, port welshpool,3068,23, gepp place, glengara village, 08 42517789,8775168
,,,,,,,,,,,,,,
   eng, f, ,19170214, , tara, keegan, vic, hedley,6210,64, jerrabomberra avenue, , 618 97664506,8643709
,,,,,,,,,,,,,,
   ger, f,19,19970111, ms, max, kemle, nsw, fords bridge,4109,4, duffy street, , 02 28576523,9006202
,,,,,,,,,,,,,,
   chi, f, ,19110216, , jack, ke, wa, inggarda,4223,291, daley crescent, , 04 09497496,7732185
,,,,,,,,,,,,,,
   ind, m,23,19930405, , william, lalita, nsw, barraba,6172,89, jarrah street, kiloran, 2 02057079,1338240
,,,,,,,,,,,,,,
   eng, f,30,19860515, , jaiden, dennel, qld, mount walker west,5014,8, bandjalong crescent, , 613 95218232,3876563
,,,,,,,,,,,,,,
   chi, f,27,19890901, mr, holly, szu, , cronulla,2500,109, drysdale circuit, boundary farm, ,4025334
,,,,,,,,,,,,,,
   usa, f,30,19860912, , blake, gibbs, , coffs harbour,5083,17, nanima road, , 08 44492578,3236034
,,,,,,,,,,,,,,
   ser, m,31,19851016, , thomas, tupajic, , yagoona,3940,140, mcinnes street, karingal homes, 04 91998302,7375669
,,,,,,,,,,,,,,
   afg, f, ,19940719, pfc, casey, lodhi, nsw, lorn,4370,1, hensman street, wirraway, 2 19506167,9633050
,,,,,,,,,,,,,,
   cze, m,31,19851101, , elton, martzinova, nsw, mungindi,5018,5, builder crescent, wellwood, 02 62432510,3836850
,,,,,,,,,,,,,,
   ind, m,37,19790408, , katelyn, ghanshani, nsw, aberdare,2263,1, springvale drive, rosebrook, ,5730433
,,,,,,,,,,,,,,
   eng, f,30,19860703, , bertie, yong, nsw, reidsdale,4850,8, blackett crescent, , 02 71265335,7995983
,,,,,,,,,,,,,,
   usa, f,27,19890112, , finn, william, nsw, dignams creek,3195,22, tunney crescent, , 02 91765084,8240940
,,,,,,,,,,,,,,
   eng, f,25,19910709, , steven, mcdougall, wa, quelagetting,3464,6, tatchell street, , 8 90649027,8732376
,,,,,,,,,,,,,,
   afr, f,10,20060309, mr, leah, akue, qld, gayndah,3199,12, church lane, , 613 77770845,1155513
,,,,,,,,,,,,,,
   vie, f,37,19790101, ms, samantha, khong, nsw, willmot,3666,13, hickson place, villa 5, 03 62256384,3784849
,,,,,,,,,,,,,,
   eng, ,19,19970119, , luke, abbey, , myrtleford,4655,3, coxen street, , 03 15632047,2422525
,,,,,,,,,,,,,,
   eng, ,21,19951206, , matthew, robert, vic, tamleugh west,6006,10, gosman close, , 8 38494283,1356531
,,,,,,,,,,,,,,
   eng, f,35,19811216, ms, michael, thorne, sa, wirrabara,6164,39, booroondara street, hotel laguna, 7 49020681,4799056
,,,,,,,,,,,,,,
   jap, f, ,19731225, , georgia, doi, nsw, tannum sands,2030,49, milari street, , 2 90273650,6250955
,,,,,,,,,,,,,,
   ind, f, ,19400105, ms, jessie, , vic, eurobin,5502,50, litchfield place, , 8 18908279,9099858
,,,,,,,,,,,,,,
   unk, f, ,19520628, pfc, joel, abbetmeyer, wa, mindarie,2604,101, fihelly street, springdale, 618 17702378,6202125
,,,,,,,,,,,,,,
   usa, m,32,19841009, , india, garrett, nsw, mascot,2031,13, vesta place, , 612 61460877,9481861
,,,,,,,,,,,,,,
   iri, f,33,19830715, , micaela, ohannagan, vic, labertouche,3073,29, greenvale street, , 618 51409847,4602167
,,,,,,,,,,,,,,
   unk, f,27,19890128, , natalia, scollard, vic, darlington,2759,31, berne crescent, , 8 40445963,5239767
,,,,,,,,,,,,,,
   pol, f,29,19871004, , dominic, bubelski, , bridgewater,3132,263, newdegate street, clanoc cottage, 08 34583220,7142982
,,,,,,,,,,,,,,
   unk, f, ,19790312, , isabella, aaberg, nt, roselands,870,55, magrath crescent, oakleaves, 03 15108091,9590506
,,,,,,,,,,,,,,
   unk, f,28,19880408, , abby, scoby, sa, salisbury north,3910,5, de burgh street, , 7 26849360,7665946
,,,,,,,,,,,,,,
   usa, ,28,19880506, , zachary, moody, qld, dicky beach,2745,4, aspinall street, pretty gully co-op, 613 84886642,3568222
,,,,,,,,,,,,,,
   chi, f,37,19790720, , alexander, ling, nsw, bunyah,2340,16, hopetoun circuit, , 612 29467750,1060188
,,,,,,,,,,,,,,
   chi, f,21, , , william, in, vic, fish creek,2761,43, minehan place, , 8 16547908,6845486
,,,,,,,,,,,,,,
   unk, f,28,19880224, pfc, erin, scofield, nt, bakewell,3165,135, wagga street, , 03 00636860,2273134
,,,,,,,,,,,,,,
   chi, ,35,19810212, ms, jaimee, chuk, vic, vervale,3104,456, , , 8 94423705,4541569
,,,,,,,,,,,,,,
   eng, ,30,19860129, , chelsea, rennell, , forrestfield,4122,122, broadsmith street, killarney, 02 83023504,6811905
,,,,,,,,,,,,,,
   eng, ,31, , dr, aiden, mcdougall, wa, branxton,2560,12, johnson place, , 8 18242248,2856655
,,,,,,,,,,,,,,
   eng, f,29,19870411, , dylan, victorson, vic, burwood heights,2229,20, white crescent, , 618 25760926,9243637
,,,,,,,,,,,,,,
   vie, f,29,19871222, ms, lachlan, vu, tas, red hills,4879,7, a'beckett street, windy gully, 07 94834544,6905892
,,,,,,,,,,,,,,
   usa, ,32,19840717, , sophie, kerr, wa, mount erin,6333,44, dawes street, glendower, 08 00456058,2009367
,,,,,,,,,,,,,,
   unk, , ,19160615, mr, amelia, stranger, qld, tingalpa,2602,8, mcinnes street, , ,7070880
,,,,,,,,,,,,,,
   unk, f,30,19860603, mr, matthew, scinto, nsw, cooranbong,3174,400, macquarie street, , 2 18493820,2860086
,,,,,,,,,,,,,,
   , m,22,19940623, , sarah, margrie, qld, west end,2776,18, southern cross drive, , 3 58560346,7096410
,,,,,,,,,,,,,,
   chi, m,22, , , angelica, jo, qld, mount sheridan,2450,160, troughton street, , 07 34942480,6890874
,,,,,,,,,,,,,,
   chi, ,25, , , hayley, gwok, vic, brim,2170,121, henry street, , 8 58416256,3699560
,,,,,,,,,,,,,,
   eng, f,26,19901128, ms, edward, tollemache, wa, mount sheila,5066,97, dinnison circuit, , ,3267930
,,,,,,,,,,,,,,
   unk, f,23,19930225, , adam, scjum, nsw, thornton,5253,10, gunning place, , ,7866235
,,,,,,,,,,,,,,
   chi, f,37,19790523, , jayden, qian, vic, footscray,3198,38, hoddle garden, , 618 65684275,6312776
,,,,,,,,,,,,,,
   usa, f,34,19820423, , nathan, franks, vic, walpeup,3931,98, downward place, , ,9367123
,,,,,,,,,,,,,,
   ser, ,35,19811211, , william, ljubisec, qld, coombabah,2023,14, shepherd street, , 3 52447375,8954509
,,,,,,,,,,,,,,
   eng, f,35,19810523, ms, zac, alfredson, vic, koondrook,2820,69, cockle street, divisive, 618 39408257,5147060
,,,,,,,,,,,,,,
   eng, f,9,20071119, , aimee, smedley, nsw, islington,2840,44, fiveash street, coulter court, 2 69451727,1985332
,,,,,,,,,,,,,,
   eng, f,30,19860521, mr, robert, brigham, wa, ,6073,33, pindari crescent, , 02 07642349,6386616
,,,,,,,,,,,,,,
   eng, f,30,19860204, ms, elly, hollands, , galston,4014,11, jardine street, , 02 89330601,6986702
,,,,,,,,,,,,,,
   ser, f,27,19891016, , joshua, lakovic, nsw, corowa,5290,2, knox street, westerham, 2 06877023,1904707
,,,,,,,,,,,,,,
   chi, f,26,19900308, , stirling, gou, tas, highclere,4114,6, marlee place, , 7 93428146,5110702
,,,,,,,,,,,,,,
   eng, f,8, , , jacobie, braddock, qld, chahpingah,3608,417, bangalay crescent, , 613 70076940,9540147
,,,,,,,,,,,,,,
   tha, f,37,19790109, , sascha, prachuab, qld, delan,3071,14, mugga way, , 03 73238642,1292642
,,,,,,,,,,,,,,
   usa, ,25,19910202, , clain, rasmussen, tas, verona sands,3076,10, duterrau crescent, medical centre, 617 53925497,6081518
,,,,,,,,,,,,,,
   ser, f,9,20070407, , thomas, adamovic, vic, murroon,5025,12, namadgi circuit, kangaroo grnd, 04 77757603,5632979
,,,,,,,,,,,,,,
   usa, f,27,19890731, mr, hugh, marshall, qld, riverwood,2340,21, moonbi crescent, marylands, ,5518764
,,,,,,,,,,,,,,
   ger, ,33,19830212, , noah, bentele, , proserpine,3960,151, bellchambers crescent, braeburn, 07 10838169,2498344
,,,,,,,,,,,,,,
   chi, ,37, , rev, victoria, kam, vic, narbethong,3167,119, laughton street, swannie, 08 64324175,6089200
,,,,,,,,,,,,,,
   eng, f,26, , , benjamin, anson, nsw, coolabah,4573,55, savige street, rosetta village, 02 41769773,2250635
,,,,,,,,,,,,,,
   por, ,20,19961015, ms, chelsea, rodigues, vic, lascelles,2750,2, kapunda street, , 08 95288819,5461469
,,,,,,,,,,,,,,
   rus, m,36,19800415, , annabel, zimyatov, vic, beaufort,6017,1, ballumbir street, , 618 49438190,9011871
,,,,,,,,,,,,,,
 usa, f,27,19891122, mr, ella, parks, vic, caulfield east,3022,47, geax place, eden park, 8 59341385,8155862
,,,,,,,,,,,,,,
   unk, m,35,19810322, , nacoya, streckfuss, qld, bohle plains,3043,18, kallara close, , 03 30327316,6180052
,,,,,,,,,,,,,,
   jew, ,30,19860811, ms, calvin, shameel, vic, eurobin,2155,10, fred lane crescent, , 8 26637574,4748074
,,,,,,,,,,,,,,
   eng, f,12,20041023, , liam, clifford, act, aranda, ,503, glasgow street, , 612 30479601,6527142
,,,,,,,,,,,,,,
   eng, ,23,19930923, , emiily, jeffers, , kingsford,5074,12, hatfield street, tarwyn park, 03 96387780,3996768
,,,,,,,,,,,,,,
   usa, f, ,19051104, , samara, wilkerson, qld, windermere,4114,33, brigalow street, , 03 42028269,9733141
,,,,,,,,,,,,,,
   unk, f,21,19951204, ms, abby, strapp, nsw, tyringham,2165,14, maynard street, , 04 29750159,2032258
,,,,,,,,,,,,,,
   unk, f,36,19800303, , montana, abbatista, qld, imbil,2710,93, yagan place, rowethorpe, 03 79232867,4199634
,,,,,,,,,,,,,,
   fin, ,12,20041027, , jessica, thesleff, nsw, greenwell point,7250,88, , locn 8200, 02 05324257,2091413
,,,,,,,,,,,,,,
   chi, ,36,19800328, , brooke, juge, qld, julia creek,2652,2, lambrigg street, , 03 25846483,7283674
,,,,,,,,,,,,,,
   unk, ,38,19780724, hon, harrison, strazzari, qld, toowoomba,4814,132, campbell street, tathra, 613 37898731,8572878
,,,,,,,,,,,,,,
   unk, f,12,20041202, dr, jaxin, scofield, vic, belgrave,6157,8, dungowan street, , 618 42631116,1228845
,,,,,,,,,,,,,,
   usa, f,27,19890902, , madeline, mcclure, nsw, lavington,3222,222, knoke avenue, parlour mountain, 612 46498283,5918202
,,,,,,,,,,,,,,
   eng, m,28,19880215, ms, jye, abraham, wa, ningaloo,6027,14, clift crescent, glenlee, 618 45596374,6495412
,,,,,,,,,,,,,,
   gre, f,23,19930705, ms, dante, vinieri, qld, patterson lakes,4107,4, jandamarra street, , ,3454402
,,,,,,,,,,,,,,
   ind, f, ,19520212, , ethan, kandadai, vic, brunswick,2905,33, bennett street, killara homestead, 8 47626867,9335858
,,,,,,,,,,,,,,
   usa, f, ,19540716, ms, charles, johns, qld, buddina,2232,4, baracchi crescent, baroona, 02 05858715,9822057
,,,,,,,,,,,,,,
   pol, f,37,19791103, , daniel, aronowitz, vic, ,6012,34, boas place, , 08 13696267,5211530
,,,,,,,,,,,,,,
   tha, f,27, , pfc, jessica, klinpraneet, nsw, wilcannia,6210,28, oldfield circuit, kalyra retirement, 2 60811304,9265335
,,,,,,,,,,,,,,
   wel, ,21,19951223, mr, jack, blayney, nsw, hamilton north,6285,136, hartigan garden, learning earth farm, 2 66819979,2909705
,,,,,,,,,,,,,,
   usa, f,21,19951205, , sophie, leblanc, vic, sandy bay,6154,25, mcmaster street, hybernia park, 08 94388229,5070158
,,,,,,,,,,,,,,
   ina, f,9,20070517, ms, matthew, setiawan, vic, tongala,4870,1, lachlan street, , 08 30852882,4724432
,,,,,,,,,,,,,,
   usa, f,23, , , alicia, chang, nsw, the channon,4211,22, bodel place, furmiston, 2 37513287,1916482
,,,,,,,,,,,,,,
   usa, f,24,19920129, , sophie, roach, vic, delahey,2256,34, fiaschi street, , 618 57257817,1727252
,,,,,,,,,,,,,,
   afr, f,29,19871010, , joshua, adande, act, flynn,3195,23, balbo place, , 612 23500700,1834404
,,,,,,,,,,,,,,
   usa, f,29,19871126, mr, ned, garza, nsw, buff point,4506,116, currong street, billabong cvn park, 2 07969527,5561526
,,,,,,,,,,,,,,
   eng, f,30,19860308, , gianni, whittemore, qld, walter lever estate,4753,129, outtrim avenue, rowethorpe, 03 42517532,8115510
,,,,,,,,,,,,,,
   eng, f,36, , , savannah, ness, vic, noradjuha,4814,1, allport street, lynbardeen, 07 18346735,9224828
,,,,,,,,,,,,,,
   eng, f, ,19250913, , riley, hardie, qld, rodds bay,2225,10, galvin place, , 613 67017369,8389443
,,,,,,,,,,,,,,
   chi, f,31,19850701, , harrison, loh, nsw, maloneys beach,6076,29, barraclough crescent, , 02 83173431,4046716
,,,,,,,,,,,,,,
   eng, ,29, , ms, seth, coke, vic, childers,6028,25, mcconnel crescent, , 08 61653417,9151726
,,,,,,,,,,,,,,
   usa, ,20,19961004, ms, tyler, joyner, vic, lower plenty,2700,16, capella crescent, , 618 87055802,3968881
,,,,,,,,,,,,,,
   vie, ,37,19790621, , liam, trung, nsw, cobargo,2340,2, langley place, , 08 32843884,7809446
,,,,,,,,,,,,,,
   , f, ,19470123, , brandon, novak, , ringwood,2870,99, gosman close, , 04 36446991,6144189
,,,,,,,,,,,,,,
   unk, f,26,19900712, pfc, danielle, strehovski, vic, willaura,4124,24, dryandra street, , 618 85572697,7195149
,,,,,,,,,,,,,,
   eng, f,32,19840323, , noah, brewster, wa, irwin,3038,500, burnie street, riverside plaza, 08 51641521,8497713
,,,,,,,,,,,,,,
   eng, f,37,19790409, , daniel, wyndham, nsw, kogarah,3029,7, fingleton crescent, , 02 51135356,8771383
,,,,,,,,,,,,,,
   usa, m,27,19890115, , silas, slater, vic, mount alfred,2293,305, tregear close, the mall, 08 24784303,1700112
,,,,,,,,,,,,,,
   usa, f,22,19941009, pfc, hanna, sullivan, wa, mount hawthorn,3064,108, bandulla street, , 8 95367876,5414898
,,,,,,,,,,,,,,
   afr, m,25,19910125, , joel, mukasa, nsw, ashley,2259,15, rowntree crescent, , 02 03415973,9034161
,,,,,,,,,,,,,,
   usa, ,20,19960213, , jack, chung, nsw, greenwich,2008,180, spafford crescent, unt 2, 612 06754189,2223347
,,,,,,,,,,,,,,
   unk, m,29,19871102, , liam, aani, qld, mundingburra,2304,12, , , 613 06554540,3773281
,,,,,,,,,,,,,,
   eng, f,26,19900318, ms, connor, mathaton, qld, bollier,2360, , arthaldo court, the ponderosa, 613 81182481,6873731
,,,,,,,,,,,,,,
   usa, ,29,19870719, , emiily, mccarty, sa, venus bay,3140,80, costello circuit, , 7 89863714,2052160
,,,,,,,,,,,,,,
   tha, f,19,19971024, , isabella, sitdhirasdr, qld, moorooka,5114,7, suttor street, , 03 13413828,6344314
,,,,,,,,,,,,,,
   chi, f,31,19850603, mr, jackson, tseung, vic, arcadia,3163,11, eggleston crescent, , 618 48104364,7918757
,,,,,,,,,,,,,,
   eng, m,11,20050706, dr, shane, mckenny, , dulwich hill,5162,1, wadham place, middle earth, 03 78536616,5927040
,,,,,,,,,,,,,,
   chi, f,30,19861026, , zebediah, sye, nsw, macquarie fields,4702,2, antill street, springetts arcade, 2 39881022,1650520
,,,,,,,,,,,,,,
   usa, m,32,19840121, pfc, flynn, dorsey, vic, strath creek,5162,29, crozier circuit, , 618 92438819,7191655
,,,,,,,,,,,,,,
   gre, f,20,19960727, ms, trevor, couloumbis, nsw, eden,3104,4, chave street, , 07 40446960,5219209
,,,,,,,,,,,,,,
   usa, f,35, , dr, ash, nash, nsw, rosedale,2540,32, tauss place, alton hills, ,2406045
,,,,,,,,,,,,,,
   ind, ,35,19810319, , danika, dasgupta, vic, south dudley,2146,7, goldner circuit, rainbow downs, 08 28049749,1109508
,,,,,,,,,,,,,,
   usa, f,33,19831021, , hannah, mcgowan, tas, seymour,3199,30, enderby street, , 04 74470835,9001482
,,,,,,,,,,,,,,
   swe, f, ,19951019, , ashleigh, arnfeldt, qld, gilldora,4226,400, namatjira drive, , 03 93742006,8086106
,,,,,,,,,,,,,,
   ger, f,34,19820409, dr, kaitlin, raeder, , buccan,6009,21, la perouse street, , 04 75564926,3668837
,,,,,,,,,,,,,,
   ind, f,32,19840626, , sam, shreekant, nsw, cabramatta,6054,9, gairdner circuit, , 08 15008047,8413394
,,,,,,,,,,,,,,
   tur, ,39,19770518, , riley, ertegun, qld, alligator creek,2261,40, northbourne avenue, , 3 15666592,3508942
,,,,,,,,,,,,,,
   ser, f,20,19961030, ms, angelica, dmitrovic, qld, palm cove,2482,2533, jabanungga avenue, , 03 05148640,9514603
,,,,,,,,,,,,,,
   chi, ,32,19840505, , charlotte, lien, nsw, white cliffs,2831,13, wray place, trinity college melb uni, 612 51661340,6227385
,,,,,,,,,,,,,,
   eng, f,33,19830221, , kylee, earl, vic, anglesea,2533,7, tyrrell circuit, , 8 26064800,3587611
,,,,,,,,,,,,,,
   abo, f,25,19910903, mr, kai, munyarryun, nsw, old koreelah,4810,20, jamieson crescent, , 02 66957489,1089445
,,,,,,,,,,,,,,
   eng, f,22,19941001, , carly, marchand, vic, glenburn,4560,50, gurubun close, , ,5566319
,,,,,,,,,,,,,,
   ind, f,28,19881023, , amy, latesh, wa, cowalla,2906,18, sweet place, , ,3835623
,,,,,,,,,,,,,,
   unk, m,32,19840301, , paris, straw, qld, bulimba,4670,55, crommelin place, , 613 37563889,7948713
,,,,,,,,,,,,,,
   usa, f, ,19350917, ms, erin, house, vic, tawonga,2470,13, ngunawal drive, , ,7844334
,,,,,,,,,,,,,,
   ind, f,25,19911207, mr, michael, , vic, marsden,7112,260, diamond street, callomonda, 618 28687757,2733102
,,,,,,,,,,,,,,
   jew, f,27,19890207, ms, carlin, gretz, act, harrison,4210,57, marcus clarke street, robb farm, 612 42250923,9762926
,,,,,,,,,,,,,,
   usa, f, ,19041114, , alexander, faulkner, wa, walkaway,3094,4, batchelor street, kiola, 08 89901330,3290177
,,,,,,,,,,,,,,
   , m, ,19321101, mr, amy, rundle, vic, lake bolac,2160,24, marchant circuit, redlands, 08 91848655,8850116
,,,,,,,,,,,,,,
   eng, f,35,19810520, , lily, hogarth, tas, gravelly beach,5015,3, chevalier street, keith payne hstl, 08 50652193,1675102
,,,,,,,,,,,,,,
   jew, f, ,19440130, , teal, matz, sa, redhill,3011,8, mcmahon court, buena vista, 7 09856589,2502691
,,,,,,,,,,,,,,
   sri, f,26,19900822, , thomas, nagendra, vic, clifton springs,2045,66, jardine street, , 8 37796102,6879097
,,,,,,,,,,,,,,
   usa, m,7,20090604, , lexie, foreman, vic, merrijig,2315,8, power street, ocean crt (cnr beach s street, 8 25578984,9855712
,,,,,,,,,,,,,,
   usa, ,35,19810819, , nikita, melton, nsw, cranbourne north,2540,79, ina gregory circuit, lumeah homes, 07 42186795,7646965
,,,,,,,,,,,,,,
   usa, f,7,20090405, , taylah, williams, nsw, carrai,2486,185, bastow circuit, , 2 96446499,2091297
,,,,,,,,,,,,,,
   ind, f, ,19640424, , daniella, suryanarayama, act, weston creek,2517,24, bonney street, mater professional centre, 612 27192912,8872386
,,,,,,,,,,,,,,
   usa, f,26,19900427, , abby, clayton, qld, wivenhoe hill,4670,5, grounds crescent, , 03 35940129,2602511
,,,,,,,,,,,,,,
   eng, f, ,19361123, ms, nicholas, ericson, vic, hernes oak,3030,1, jane price crescent, , 618 65857721,6982860
,,,,,,,,,,,,,,
   unk, f,27, , , kiera, aaron, , manunda,2641,121, olympus way, garema place surgery, 02 04058096,7978689
,,,,,,,,,,,,,,
   dut, f,32,19840209, , joshua, vanhautum, qld, glenhaughton,4570,68, lister crescent, delvawood, 613 73665593,3440532
,,,,,,,,,,,,,,
   eng, f, ,19520826, cpl, andrew, deadman, sa, stenhouse bay,2777,38, hutchison crescent, , 08 93551907,4053876
,,,,,,,,,,,,,,
   chi, m,28, , , cameron, miau, nsw, terrey hills,886,236, jennings street, , 02 89853375,8271912
,,,,,,,,,,,,,,
   eng, f,32,19840817, , connor, christenson, qld, wattlebank,3206,219, palana place, , 613 66276255,7566925
,,,,,,,,,,,,,,
   unk, f,31,19850709, ms, charles, scogin, qld, isis river,3206, , bolton place, hawksview, ,8156738
,,,,,,,,,,,,,,
   usa, m,32,19840615, , mitchell, huffman, nsw, floraville,7052,125, ducane street, , 02 93671455,2047887
,,,,,,,,,,,,,,
   ser, f,11, , , quinn, sestric, sa, ridleyton,6009,79, longmore crescent, denny downs, 7 32775889,9481449
,,,,,,,,,,,,,,
   por, f, ,19871203, , lauren, demesquites, wa, carani,2486,1, frankland street, , 8 15547145,2305876
,,,,,,,,,,,,,,
   chi, f, ,19441004, , cameron, cen, nsw, lucas heights,2223,2, allambee street, , 2 13008861,9841133
,,,,,,,,,,,,,,
   eng, ,29,19870127, ms, christian, melville, vic, macks creek,3300,332, limestone avenue, kintyre, 08 97073660,3397178
,,,,,,,,,,,,,,
   gre, f,20,19961207, , lochlan, bessarion, nsw, grevillia,2328,99, inglis place, , 2 93621633,2113400
,,,,,,,,,,,,,,
   chi, ,32, , mr, , shing, nsw, mount vernon,7004,77, tregear close, , 612 33438640,1002544
,,,,,,,,,,,,,,
   unk, f,28,19880218, , arabella, abadi, vic, oak park,2560,308, lachlan street, , 618 28235752,1840361
,,,,,,,,,,,,,,
   ser, m,25,19910317, mr, harvey, mecava, wa, lowlands,2515,6, lanley square, , 08 83758987,2297660
,,,,,,,,,,,,,,
   unk, f,25,19911224, , matthew, scollard, nsw, goolgowi,4865,3, blythe close, the manor garden, 2 71868875,7310297
,,,,,,,,,,,,,,
   chi, m,26,19900227, , elizabeth, lin, , north sydney,5051,40, officer crescent, north point plaza, 08 13496433,6307114
,,,,,,,,,,,,,,
   ind, f,29,19871004, dr, andrew, shreekant, vic, brunswick,3102,5, bacchus circuit, , 07 07209814,8145095
,,,,,,,,,,,,,,
   tha, f,28,19880428, , wil, samenem, nsw, boondall,4740,68, leibnitz place, , 2 69808167,2700896
,,,,,,,,,,,,,,
   ger, m, ,19990314, dr, fergus, theiner, nsw, glencoe,3355,61, ind place, moonah, 2 85317225,5770186
,,,,,,,,,,,,,,
   ina, f,21,19950108, , sophie, sutanto, vic, port welshpool,4660, , robson street, , 08 15269972,7749127
,,,,,,,,,,,,,,
   unk, f,29,19870127, , ethan, aarnoudse, , riverwood,3101,8, grounds crescent, , 07 97669854,7320809
,,,,,,,,,,,,,,
   pak, f, ,19071112, , zoe, bukhari, wa, the lakes,3182,115, parer street, , 08 81800895,3089586
,,,,,,,,,,,,,,
   eng, ,29,19871024, ms, trent, henryson, qld, canoona,2148,198, ruwoldt place, bushland retirement village, 04 81296140,2492286
,,,,,,,,,,,,,,
   unk, ,31,19850523, mr, riley, strangway, wa, herdsman,6026,2, tewksbury circuit, parooka, 02 55059032,1498265
,,,,,,,,,,,,,,
   ser, f,35,19810611, , lauren, vucinich, wa, collie,3875,8, , , 618 75165563,1651507
,,,,,,,,,,,,,,
