 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id
,,,,,,,,,,,,,,
   chi, f,31,19851207, ms, alexandra, gong, sa, hatherleigh,6280,32, fleay place, c/-runaway bay marina, 617 50452926,6268407
,,,,,,,,,,,,,,
   gre, m,24,19920716, , brooklyn, papanastasiou, nsw, trida,7275,34, arrietta close, eldamead, 07 85241947,4901651
,,,,,,,,,,,,,,
   unk, f,21,19950830, ms, ashley, strangway, nsw, smithtown,6054,555, trumper street, st vincents medical centre, 2 74318324,1439282
,,,,,,,,,,,,,,
   unk, f,35,19810305, dr, deakin, strampher, qld, dargal road,3182,54, gadali crescent, villa 2, 03 84909857,8719895
,,,,,,,,,,,,,,
   eng, ,12,20040910, , jackson, cock, , kelmscott,3184,4, farrelly close, , 07 29019622,4391759
,,,,,,,,,,,,,,
   ger, f,27,19890223, mr, matthew, weisskeit, nsw, mcgraths hill,2642,41, melba street, , 612 91802662,4911653
,,,,,,,,,,,,,,
   ind, f, , , ms, nikita, dhurvasula, nsw, sandy point,2567,36, bainton crescent, rosetta village, 07 92753837,5714736
,,,,,,,,,,,,,,
   ger, f, ,19000610, , patrick, schechter, qld, leyburn,6107,5, , , 03 24186629,8107814
,,,,,,,,,,,,,,
   wel, f,26,19900415, ms, mackenzie, glace, vic, lake mundi,6011,31, vallance place, summer hill, 08 13555304,7350968
,,,,,,,,,,,,,,
   por, f,22,19940515, , holly, jardim, nsw, camperdown,2766,13, hutchison crescent, villa 115, 02 28731684,6647427
,,,,,,,,,,,,,,
   eng, f,32,19841209, , kierra, bonney, nsw, greenwood,2420,4, , , 2 43150916,8611056
,,,,,,,,,,,,,,
   vie, f, , , mr, rhys, phuc, tas, hamilton,2206,26, michie street, gleneira, 7 60381742,3387951
,,,,,,,,,,,,,,
   chi, f,33,19830718, mr, eliza, chang, sa, mclaren vale,2560, , warrego circuit, , 7 38221754,5027800
,,,,,,,,,,,,,,
   tur, m,34,19820113, mr, abbey, ogun, sa, mount bryan,3122,45, davies place, ashgrove farms, ,3085405
,,,,,,,,,,,,,,
   eng, ,26,19900208, ms, jack, melville, nsw, kentlyn,3029,3, , dickson chmbrs, 04 03427587,8275059
,,,,,,,,,,,,,,
   eng, f,30,19861106, , brodie, hayward, nsw, glen william,2250,66, , , 02 94563805,5959529
,,,,,,,,,,,,,,
   ira, f,24,19921115, , lachlan, rastegar, vic, balnarring,3137,40, haystack crescent, bunavon, 08 15357101,2435558
,,,,,,,,,,,,,,
   eng, f,36,19800430, , hamish, southers, vic, spotswood,3020,16, buntine crescent, , 618 41893397,7287242
,,,,,,,,,,,,,,
   chi, f,10,20061230, , alexandra, ly, nsw, castle cove,4701,29, nerli place, gowrie, 02 23455076,3966529
,,,,,,,,,,,,,,
   eng, , , , , jeremy, evanson, tas, ,2463,12, munga place, , 617 49353066,5542535
,,,,,,,,,,,,,,
   unk, m, ,19910921, pfc, brianna, schwanke, nsw, blacktown,4346,24, hawdon street, quarter deck, 612 86789079,8470584
,,,,,,,,,,,,,,
   chi, f, ,19170925, , harriet, zhuge, , erica,2033,5, , , 08 04317631,5165745
,,,,,,,,,,,,,,
   chi, ,32,19840727, ms, timothy, rwan, vic, north bendigo,4109,78, keira street, , 618 70662687,7288633
,,,,,,,,,,,,,,
   usa, f, ,19000411, pfc, lochlan, butler, vic, ryde,2074,116, jerrabomberra avenue, , 8 62271131,4081814
,,,,,,,,,,,,,,
   chi, f,12,20040331, dr, andrew, hong, nsw, hillston,2147,16, city walk, kimberley land caravan park, 612 18429906,2435006
,,,,,,,,,,,,,,
   afr, m,33,19830201, mr, eliza, aworet, nsw, dural,2212,8, darley place, , 02 04577431,7299686
,,,,,,,,,,,,,,
   chi, f,33,19831004, ms, harrison, che, vic, newham,6060,10, john cleland crescent, , 8 75635101,6948573
,,,,,,,,,,,,,,
   eng, m,33,19831020, , shai, hyland, nsw, forest hill,6281,11, brigalow street, ortawenah, 2 95542998,6764482
,,,,,,,,,,,,,,
   pak, f,34,19820626, ms, samuel, natkarni, qld, baree,2566,37, noble place, tinbidgeree, 3 02491222,8062222
,,,,,,,,,,,,,,
   unk, f,27,19890822, , zali, abat, , kuraby,2018,2, buller crescent, , 07 96149653,9350954
,,,,,,,,,,,,,,
   usa, f,35,19810602, , hayden, foley, vic, orange,4814,64, hadleigh circuit, , 8 03280061,3669103
,,,,,,,,,,,,,,
   fin, f,31, , , zachary, rahnasto, sa, windsor,3043,17, irvine street, , 7 10200555,3885702
,,,,,,,,,,,,,,
   eng, m,40,19760915, , dillon, danniell, nsw, wagga wagga,2340,1, calvert street, , 02 27864791,2924220
,,,,,,,,,,,,,,
   usa, f,34,19820302, ms, aleisha, malone, vic, hunter,4053,23, poynton street, baroona, 04 59931931,1701935
,,,,,,,,,,,,,,
   chi, f, ,19731211, ms, jinni, kong, nsw, karuah,2251,45, noongale court, , 612 68841822,5403002
,,,,,,,,,,,,,,
   usa, m,32,19840919, , josephine, espinoza, qld, ,2579,10, laverton avenue, backacres, 03 35711156,9804681
,,,,,,,,,,,,,,
   ind, ,24,19920108, ms, alexander, prudvi, , o b flat,5113,45, chandler street, , 08 76451355,1196573
,,,,,,,,,,,,,,
   eng, f,34,19820105, pfc, zac, wescott, vic, wahgunyah,2049,105, hocking place, , 08 27394878,6913274
,,,,,,,,,,,,,,
   ind, f,26,19900602, ms, seth, tuhin, vic, cromer,3804,83, harrington circuit, anice-ohn, 08 13815004,3960543
,,,,,,,,,,,,,,
   usa, f, ,19190111, ms, benjamin, odonnell, sa, arno bay,3174,46, copland drive, , 617 14517318,2390043
,,,,,,,,,,,,,,
   afr, f,23,19930808, hon, jesse, kalonji, qld, warenda,3029,54, fihelly street, , 3 25344723,2027156
,,,,,,,,,,,,,,
   fin, f,25,19910831, mr, tommi-lee, vataren, qld, somerset dam,2680,13, barnett close, dog rock shopping centre, 3 93028299,1630106
,,,,,,,,,,,,,,
   ger, ,33,19831125, , danika, winschermann, nsw, cookamidgera,2570,49, atkinson street, , 612 85345783,9146135
,,,,,,,,,,,,,,
   ind, f, ,19140923, ms, harry, narasimha, wa, tutunup,4165,47, mcluckie crescent, , 08 95509850,7466687
,,,,,,,,,,,,,,
   usa, f,29,19871217, , harry, cruz, nt, hermannsburg,3976,2, huxley place, , 04 14539153,9322685
,,,,,,,,,,,,,,
   chi, f,24,19921018, ms, tiffany, tau, qld, west stowe,6151,239, burdekin avenue, , 613 92028025,9899598
,,,,,,,,,,,,,,
   eng, f,27,19890201, , robert, christinsen, , lakes entrance,2251,7, dooring street, , 03 74610059,6536434
,,,,,,,,,,,,,,
   usa, m,29,19870611, , justin, serrano, nsw, gerroa,4210,17, erldunda circuit, , 612 30801300,7363917
,,,,,,,,,,,,,,
   chi, ,29,19870331, , sean, yu, wa, surry hills,2154,29, fernyhough crescent, , 08 74833315,8808748
,,,,,,,,,,,,,,
   ind, f,29,19871206, pfc, zachary, tikku, nsw, balldale,4559,40, mcmillan crescent, , 02 62147327,7728750
,,,,,,,,,,,,,,
   chi, ,27,19890302, , rosie, shuang, nsw, manly vale,3764,253, gatton street, , 612 67166506,5371575
,,,,,,,,,,,,,,
   usa, f,29,19870429, , madison, huff, qld, blacktown,3221,69, munga place, , 613 65380638,3218547
,,,,,,,,,,,,,,
   usa, ,12,20041212, , isabella, mckee, vic, allans flat,7249,4, brown street, sec 597, 08 92796742,5104181
,,,,,,,,,,,,,,
   swe, m,11,20050321, , tori, isakson, nsw, green hills,2260,18, worrell place, , 2 90306939,2531461
,,,,,,,,,,,,,,
   chi, f,24, , , leon, , vic, gelliondale,3065,6, forwood street, greystanes, 618 71302691,1660440
,,,,,,,,,,,,,,
   unk, f,34,19820610, , taliah, scollard, vic, coleraine,6076,46, , , 08 93209079,3615361
,,,,,,,,,,,,,,
   , f,10,20060215, mr, eleanor, white, nsw, cudal,2176,5, wirraway crescent, , 2 48682892,2841059
,,,,,,,,,,,,,,
   ind, f,29,19870929, ms, sarah, nikitha, wa, treeton,3820,3, marcus clarke street, ravensfield, 08 16027192,3155925
,,,,,,,,,,,,,,
   spa, f,29,19871224, , dylan, lucio, nt, croker island,3977,19, bendora crescent, laelarnie, 3 73671542,9444426
,,,,,,,,,,,,,,
   eng, f,36,19800714, , kiara, bloxham, qld, eastern heights,7008,33, , , 04 86444957,6904258
,,,,,,,,,,,,,,
   usa, f,32, , ms, katharine, donovan, wa, chichester,3180,45, hodgson crescent, southern cross, 08 83360066,5499868
,,,,,,,,,,,,,,
   unk, f,28,19881023, ms, nicholas, abbondandola, vic, nareen,4872,7, jemalong street, , 618 77453482,1416001
,,,,,,,,,,,,,,
   hun, f, ,19671209, , ellie, rubik, nsw, dunmore,2126,8, blaxcell place, , 04 60912246,5012354
,,,,,,,,,,,,,,
   ser, f,25,19911127, pfc, charlotte, sijercic, wa, mosman park,3071,65, frankland street, blueberry hill, 08 53978747,2028773
,,,,,,,,,,,,,,
   chi, f,29,19870207, , kate, awyoung, , labrador,4113,47, dutton street, fairholme, 03 95664901,1108205
,,,,,,,,,,,,,,
   ger, m,23,19931120, mr, ella, geier, , benowa,3161,15, mcclelland avenue, emerald garden, 02 97429104,1980980
,,,,,,,,,,,,,,
   cze, f,19,19971220, , phoebe, boliek, vic, coghills creek,2036,45, narrabundah lane, , 618 19218547,9573173
,,,,,,,,,,,,,,
   usa, f, , , , joshua, william, vic, marshall,2259,24, carnegie crescent, , 08 78004101,2046616
,,,,,,,,,,,,,,
   unk, f,30,19860226, ms, kristen, abbetmeyer, vic, safety beach,6066,16, dugan street, twojays, 618 98653475,2006659
,,,,,,,,,,,,,,
   chi, f,37,19790114, , jacob, zo, nsw, tempe,3175,20, adam place, roskhill, 612 11771981,6280288
,,,,,,,,,,,,,,
   cze, f, ,19620830, , john, broucek, qld, coral cove,3910,14, ranken place, , 613 87577225,4051102
,,,,,,,,,,,,,,
   tur, f, ,19740929, , jayde, belciler, qld, garnant,2913,4, broadbent street, highgate, 3 55344994,7254471
,,,,,,,,,,,,,,
   unk, f,32,19840821, , jacob, aballon, vic, murchison,3977,6, de burgh street, , 8 19548608,9031779
,,,,,,,,,,,,,,
   chi, f,33,19831127, ms, anita, , nsw, bowning,2795,11, gatty street, , 2 38660589,2237916
,,,,,,,,,,,,,,
   usa, f, ,19660605, , noah, carey, sa, clarence park,2148,125, armstrong crescent, , 7 29012337,9349992
,,,,,,,,,,,,,,
   ind, , ,19080102, , madeleine, elayavalli, , maitland,3227,6, holden crescent, , 03 36382014,1611997
,,,,,,,,,,,,,,
   , f,24,19920109, , lara, tiller, nsw, cabarita beach,3107,607, buntine crescent, , 2 27056598,5712976
,,,,,,,,,,,,,,
   usa, f,29,19870806, mr, isabella, emerson, nsw, florey,2137,12, kinalung place, mosman park, 2 67287678,1256351
,,,,,,,,,,,,,,
   , ,26, , ms, aleisha, white, sa, winmalee,6151,11, habgood place, , 07 16909937,9644788
,,,,,,,,,,,,,,
   ira, f,32,19841215, dr, joel, gholami, , carlingford,4215,11, ferrett circuit, , 08 34622184,8432255
,,,,,,,,,,,,,,
   eng, f,25,19910309, , blaize, morriss, sa, hindmarsh,4508,402, harper street, llantwit house, 7 08592822,2632752
,,,,,,,,,,,,,,
   eng, m,12,20040722, , tanyshah, bulle, vic, whittington,2765,11, handasyde street, , 618 57212530,7041023
,,,,,,,,,,,,,,
   chi, f,27,19891103, mr, michael, gwan, vic, central park,6157,6, darley place, , 618 08739626,6752329
,,,,,,,,,,,,,,
   swe, f,30,19860723, , madeleine, bondeson, qld, wahroonga,7302,5, , , 03 40934201,7841360
,,,,,,,,,,,,,,
   ind, f,21,19950731, , claire, ragha, , carlingford,3199,14, marcus clarke street, corinella, 02 79026107,3350525
,,,,,,,,,,,,,,
   ara, f, ,19980520, , madalyn, sadiah, , thornbury,4310,12, shannon circuit, , 07 44734571,7115899
,,,,,,,,,,,,,,
   usa, f,41,19751225, , casey, camacho, sa, ,7301,7, allambee street, , 08 37008765,2632441
,,,,,,,,,,,,,,
   ser, m,29,19871104, , samuel, osmanovic, , east maitland,4077,24, fullerton crescent, , 04 70866728,7918872
,,,,,,,,,,,,,,
   unk, m, ,19110614, , thomas, aarnoudse, vic, dean,2153,26, , , 8 68958319,4318511
,,,,,,,,,,,,,,
   rom, ,32,19840112, , luke, cosma, sa, elizabeth vale,2299,1, broadby close, beaumont farm, 7 12295938,1489473
,,,,,,,,,,,,,,
   ind, ,24,19921005, , alexander, vinit, , newcastle,2615,49, fairweather circuit, john flynn hospital, 03 11623944,1118448
,,,,,,,,,,,,,,
   eng, f,33,19830427, , zarran, acker, qld, eagle heights,6407,39, , rockview, 613 99577804,9774461
,,,,,,,,,,,,,,
   eng, f,39,19770625, pfc, alexandra, martins, nsw, glenning valley,2282,8, vansittart crescent, medical centre, 612 68861075,5699240
,,,,,,,,,,,,,,
   tha, ,31, , , garth, pisitna, sa, hilltown,5419,64, bourchier close, clanville, 617 11059194,3603126
,,,,,,,,,,,,,,
   eng, m,31,19851122, dr, jack, verity, nsw, numbla vale,2264,88, rafferty street, west aerodrome, 612 99048774,4690804
,,,,,,,,,,,,,,
   fin, f,29,19870102, , thomas, hakkila, qld, greenup,3095, , judd place, , 3 35277993,3805980
,,,,,,,,,,,,,,
   eng, f,39,19770401, dr, corie, hyland, wa, adamsvale,2519,2, salomons place, , 08 76744859,6586232
,,,,,,,,,,,,,,
   eng, m,22,19940312, , zack, elmerson, qld, red hill,3103,36, patton place, , 3 54167370,3359884
,,,,,,,,,,,,,,
   rom, f,34,19820117, , kane, trelles, qld, trotter creek,3931,57, parer place, , 03 03469046,5739200
,,,,,,,,,,,,,,
   eng, ,34,19820127, hon, joshua, ethans, qld, wintergarden,4178,11, conder street, , 03 78915984,2000834
,,,,,,,,,,,,,,
   usa, f,23,19930210, , kasey, ware, nsw, edith,2135,20, manning street, , 02 67206994,6083860
,,,,,,,,,,,,,,
   ind, f,9,20071202, , judah, sourav, sa, koolunga,5085,134, connelly place, ulah, 07 97765865,9956830
,,,,,,,,,,,,,,
   eng, f,39,19770803, , emiily, bramson, qld, coochiemudlo island,4703,96, berne crescent, , 03 67155101,1926229
,,,,,,,,,,,,,,
   usa, f,23,19930206, , shakirah, vance, nsw, lue,2527,203, , , 2 87435782,8157827
,,,,,,,,,,,,,,
   ind, ,36,19800705, ms, marleigh, kunal, vic, alexandra,5159,20, roper place, , 8 44147628,3047352
,,,,,,,,,,,,,,
   eng, m, ,19790618, , jasmin, thomson, , manning point,2166,23, macfarland crescent, , 03 11977846,5251698
,,,,,,,,,,,,,,
   usa, f,23,19930322, mr, abii, conley, nsw, stuart town,5163,541, sherbrooke street, , 02 75822856,6334091
,,,,,,,,,,,,,,
   chi, f, ,19811022, , jory, awyong, nsw, lowood,4570,78, sidaway street, laane coree, 2 66168079,2096182
,,,,,,,,,,,,,,
   usa, m,34,19820713, , lachlan, terry, tas, grindelwald,3095,10, launceston street, , 07 45779111,2051691
,,,,,,,,,,,,,,
   usa, ,10,20060818, , courtney, haley, nsw, dulwich hill,3500,10, hicks street, , 612 97244564,7679761
,,,,,,,,,,,,,,
   unk, f,31,19850222, , shelby, strainij, sa, balgowan,6112,1, finey close, , 617 52177731,3688156
,,,,,,,,,,,,,,
   chi, f,27,19891213, hon, michael, chio, nsw, thornleigh,2289,64, mcnamara street, , 02 74024502,6063218
,,,,,,,,,,,,,,
   ind, , ,19900616, , thomas, raghunathan, wa, durawah,4053,3470, julius street, , 618 80720882,2175129
,,,,,,,,,,,,,,
   unk, m,8, , , dylan, scofield, qld, brighton,3922,112, haines street, , 3 94714801,8421489
,,,,,,,,,,,,,,
   hun, f,30,19860208, , chloe, koranyi, , redhead,4068,21, jagara street, , 03 00210622,3748873
,,,,,,,,,,,,,,
   usa, ,25,19910520, , shelby, grimes, nsw, fingal bay,2107,22, fitchett street, , 612 00758882,7642484
,,,,,,,,,,,,,,
   usa, f, ,19960901, , blake, burris, nsw, prestons,2560,72, , , 02 32758739,3787316
,,,,,,,,,,,,,,
   ser, f, ,19190331, , keira, azinovic, nsw, newport beach,3175,18, maddison close, bowder lodge, 02 73191241,8529707
,,,,,,,,,,,,,,
   jew, ,28,19880420, , noah, goulston, tas, fingal,5171,36, lamb place, glenmore, 07 23675262,7112177
,,,,,,,,,,,,,,
   pol, f,31,19850426, mr, , bielecki, qld, coolum beach,800,23, bangalay crescent, cherry haven, 02 23871973,9429704
,,,,,,,,,,,,,,
   unk, f,24,19920626, ms, tabitha, aaberg, nsw, young,4226,80, earle place, , 02 36301454,4424833
,,,,,,,,,,,,,,
   eng, m,19,19970904, , samuel, kendrick, nsw, blacktown,6053,33, higinbotham street, , 2 62277774,5963782
,,,,,,,,,,,,,,
   ina, , , , ms, isaiah, salim, nsw, walbundrie,3337,19, shumack street, , 02 81063550,9928907
,,,,,,,,,,,,,,
   eng, f,7,20090213, , , hallman, wa, scott river,2753,74, mayo street, , 08 17211644,9591916
,,,,,,,,,,,,,,
   usa, f, ,19431111, ms, georgia, kramer, wa, torndirrup,3149,207, , rosetta village, 08 83230214,7692290
,,,,,,,,,,,,,,
   ser, f, ,19530625, , ellen, cackovic, sa, alberton, ,135, , parkway centre, 7 70739141,3181403
,,,,,,,,,,,,,,
   , m,32,19840126, , kelsye, worsley, nsw, vincentia,2168,12, marungal avenue, , 612 87035818,4073681
,,,,,,,,,,,,,,
   chi, f,32,19840508, , nell, ngai, nsw, croydon north,5062,7, carrington street, littlemount, 612 26428610,6791886
,,,,,,,,,,,,,,
   chi, ,31,19850903, ms, mitchell, kang, tas, elizabeth grove,2150,222, tasmania circle, newman medical centre, 04 85650704,2784962
,,,,,,,,,,,,,,
   ara, f, ,19070522, , david, qutaylah, vic, condon,3044,112, le hunte street, rsde 668, 8 08927215,9160650
,,,,,,,,,,,,,,
   ger, ,19,19970829, mr, caitlin, alhmann, , acacia ridge,2191,70, copland drive, , 08 87673372,5088726
,,,,,,,,,,,,,,
   eng, f,24,19920601, , lachlan, rogerson, , oak flats,3280,255, saw place, sec 1, 02 47671418,2643086
,,,,,,,,,,,,,,
   usa, f,31,19851108, ms, jacob, castro, wa, muntadgin,3036,57, stopford crescent, , 08 67273528,1182005
,,,,,,,,,,,,,,
   usa, m,24,19920401, , samantha, wright, vic, hampton park,2031,34, stretton crescent, , 618 04591673,3703594
,,,,,,,,,,,,,,
   unk, f,23,19930101, , belinda, scopel, vic, houston,6157,238, scarborough street, old cob, 618 05826762,1144306
,,,,,,,,,,,,,,
   fre, f,32,19840829, mr, riley, chesnais, tas, dulcot,3055,8, hagen place, , 617 87945741,8538738
,,,,,,,,,,,,,,
   unk, f, ,19450412, , alana, strehovski, wa, barbalin,2291,13, bambridge street, moorilla, 8 45377929,7996750
,,,,,,,,,,,,,,
   unk, f,30,19860113, , georgia, strehovski, wa, moorine rock,2142,5, knoke avenue, c/-the student village, 8 32449543,1441282
,,,,,,,,,,,,,,
   eng, f,29,19870330, , holly, edison, wa, naval base,2219,14, howitt street, seldon, 08 41720966,1264313
,,,,,,,,,,,,,,
   eng, m,28,19881120, hon, david, earlson, nsw, eden,3144,17, harrington circuit, , 2 38710415,5111872
,,,,,,,,,,,,,,
   abo, , ,19211025, ms, jessica, worosun, nsw, goonumbla,3840,35, edwell place, , 2 67783934,8041777
,,,,,,,,,,,,,,
   unk, ,32,19840425, ms, james, streich, qld, mount mort,2535,59, arabana street, , 03 54907643,1638488
,,,,,,,,,,,,,,
   eng, m, ,19881226, mr, pakita, kendrick, vic, mckinnon,5107,12, launceston street, apt 2005, 03 96536160,9247734
,,,,,,,,,,,,,,
   ser, f,36,19800313, ms, bailee, brychta, nsw, barry,2680,13, fairbridge crescent, springbanks, ,3314324
,,,,,,,,,,,,,,
   unk, m,35,19810404, , vanessa, abbatista, vic, tallygaroopna,6151,15, burkitt street, , 8 17154431,4291624
,,,,,,,,,,,,,,
   unk, m,31,19850902, , chelsie, abbitt, , pentland,4217,8, price place, millwood, 04 15534254,3689243
,,,,,,,,,,,,,,
   chi, , ,19860901, , harriet, han, nsw, turrawan,7250,4, kingston street, nerriga, 612 33218785,2438824
,,,,,,,,,,,,,,
   ser, f,37,19791203, , brooklyn, protic, tas, memana,3171,2, , elenera, 617 65486104,7470924
,,,,,,,,,,,,,,
   eng, m, ,19610911, , lucy, , nsw, turlinjah,2033,10, haly place, , 07 18765979,1645452
,,,,,,,,,,,,,,
   ind, f,35,19811101, ms, natalia, gowravaram, nsw, rocky hall,3033,6, hobday place, , 02 00623438,8343169
,,,,,,,,,,,,,,
   eng, ,28,19881114, ms, charlotte, southers, qld, charters towers,2135,62, hawkesbury crescent, cypress garden, 04 82866885,1718510
,,,,,,,,,,,,,,
   usa, f,21,19951207, ms, daniel, lowery, sa, alfords point,4151,20, inglis place, , 7 74275552,3838206
,,,,,,,,,,,,,,
   ser, m,28,19880908, ms, lexie, petranovic, nsw, warriewood,3550,36, eaton place, , 612 41592365,2769891
,,,,,,,,,,,,,,
   eng, f,23,19930111, , joshua, abram, qld, barlil,4165,37, , ra 939, 3 59220545,6363949
,,,,,,,,,,,,,,
   , f,10,20061027, ms, julia, majetic, act, deakin west,6383,9, sturdee crescent, , 2 88453689,7517114
,,,,,,,,,,,,,,
   ger, ,24,19920103, , imogen, jancker, vic, munruben,2800,127, , , 08 05814890,5207566
,,,,,,,,,,,,,,
   chi, f,27,19890603, ms, michaela, shum, , cabramatta west,830,3, , , 07 28707332,9811723
,,,,,,,,,,,,,,
   usa, f,31,19850822, rev, keahley, sosa, vic, yan yean,6061,2, postle circuit, , 08 93060387,1770868
,,,,,,,,,,,,,,
   usa, m,30,19861109, mr, kimberly, montgomery, wa, pickering brook,2289,34, coxen street, , 08 70373026,4866704
,,,,,,,,,,,,,,
   cze, f, , , ms, tara, snacker, nsw, brewarrina,2716,22, antill street, rosetta village, 2 31653500,3225389
,,,,,,,,,,,,,,
   eng, m, , , , robert, adamson, wa, sunset beach,4680,2, barrett street, , 08 30943958,7105648
,,,,,,,,,,,,,,
   unk, f,31,19850910, , finnbar, sciacca, vic, malvern east,2530,10, goldner circuit, , 8 99369350,1259489
,,,,,,,,,,,,,,
   ind, , ,19950617, , caitlin, saini, vic, tangambalanga,6061,271, gosse street, , 618 15220558,4576885
,,,,,,,,,,,,,,
   unk, f,34,19820911, mr, lucas, strampher, nsw, crabbes creek, ,111, mackey place, rangeville, 2 80025727,3138880
,,,,,,,,,,,,,,
   por, ,40,19760610, mr, liam, rivaldo, nsw, dalwood,3071,1, roberts street, , ,7644108
,,,,,,,,,,,,,,
   unk, f,29,19870220, , sachin, scjum, wa, frankland,3173,120, , , 618 43496225,1451906
,,,,,,,,,,,,,,
   usa, f,32,19841010, , alisha, dillon, nsw, werrington county,2160,46, greenvale street, , 2 87221469,9114259
,,,,,,,,,,,,,,
   ind, f,32, , , sarah, chhavvi, vic, strathmore,2443,14, lynch street, the lodge, 8 45837550,9224606
,,,,,,,,,,,,,,
   dan, f, ,19320723, dr, noah, moltke, nsw, hexham,4670,14, powers place, , 2 90341955,8062950
,,,,,,,,,,,,,,
   chi, f, ,19360530, ms, adrian, gu, nsw, longueville,810,31, somerset street, , 02 83360715,5784178
,,,,,,,,,,,,,,
   usa, f,28,19880707, mr, benjamin, flowers, qld, ferny grove,4305,22, leita court, vics crossing, 3 96187019,8177294
,,,,,,,,,,,,,,
   usa, f,34,19820701, , riley, hensley, qld, diamond valley,2096,29, dyurra garden, kilpara, 613 09332064,7644321
,,,,,,,,,,,,,,
   cze, m,36,19800119, , bailey, hamrak, nsw, north ryde,3186,2, , trumalon, 02 16680687,5518013
,,,,,,,,,,,,,,
   eng, f,26,19900207, ms, konstantinos, dickenson, nsw, ando,5127,58, pulleine crescent, arthur river park, 612 32620061,7910268
,,,,,,,,,,,,,,
   ind, f,32,19841121, , lucy, gopalan, , toorak,5023,68, cropper retreat, , 03 58244047,9468134
